Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Intake Air Temperature (F),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.00,-5.47,12.06,10,0.00,0.00,16,113,24.41,2.22,13.00
35,0.00,-5.47,12.06,10,0.00,0.00,16,113,24.22,2.22,12.80
81,0.00,-5.47,12.06,10,0.00,0.00,16,113,24.22,2.22,12.80
122,0.00,-5.47,12.06,10,0.00,0.00,16,113,23.63,2.20,12.90
155,0.00,-5.47,11.94,10,0.00,0.00,16,113,23.15,2.18,12.90
204,0.00,-5.47,11.94,10,0.00,0.00,16,113,23.15,2.18,13.00
245,0.00,-5.47,12.06,10,0.00,0.00,16,113,22.95,2.18,13.00
284,0.00,-5.47,12.17,10,0.00,0.00,16,113,20.88,2.18,13.00
327,0.00,-5.47,12.17,10,0.00,0.00,16,115,23.44,2.20,12.90
369,0.00,-5.47,11.94,10,0.00,0.00,16,115,22.67,2.18,12.90
408,0.00,-5.47,11.94,10,0.00,0.00,16,115,22.67,2.18,13.00
449,0.00,-5.47,11.94,10,0.00,0.00,16,115,23.06,2.18,13.00
476,0.00,-5.47,11.94,10,0.00,0.00,16,115,22.31,2.16,13.00
532,0.00,-5.47,11.94,10,0.00,0.00,16,115,22.31,2.16,12.90
570,0.00,-5.47,12.06,10,0.00,0.00,16,115,22.31,2.16,12.90
610,0.00,-5.47,12.17,10,0.00,0.00,16,115,22.49,2.16,12.90
648,0.00,-5.47,12.17,10,0.00,0.00,16,115,22.49,2.16,12.90
690,0.00,-5.47,12.29,10,0.00,0.00,16,115,22.14,2.16,12.90
738,0.00,-5.47,12.29,10,0.00,0.00,16,115,22.14,2.16,13.10
779,0.00,-5.47,12.29,10,0.00,0.00,16,115,21.97,2.16,13.10
813,0.00,-5.47,12.52,10,0.00,0.00,16,115,21.62,2.14,13.20
859,0.00,-5.47,12.52,10,0.00,0.00,16,115,21.62,2.14,13.20
891,0.00,-5.47,12.75,10,0.00,0.00,16,115,21.45,2.14,13.20
936,0.00,-5.47,12.86,10,0.00,0.00,16,115,21.27,2.14,13.50
986,0.00,-5.47,12.86,10,0.00,0.00,16,115,21.27,2.14,13.50
1025,0.00,-5.47,12.98,10,0.00,0.00,16,115,21.80,2.16,13.70
1052,0.00,-5.47,12.98,10,0.00,0.00,16,115,21.36,2.16,13.70
1097,0.00,-5.47,12.98,10,0.00,0.00,16,115,21.36,2.14,13.90
1144,0.00,-5.47,12.86,10,0.00,0.00,16,115,21.44,2.14,13.90
1175,0.00,-5.47,12.86,10,0.00,0.00,16,115,21.44,2.14,13.90
1230,0.00,-5.47,13.09,10,0.00,0.00,16,115,21.27,2.14,13.90
1264,0.00,-5.47,13.32,10,0.00,0.00,16,115,21.53,2.14,13.90
1313,0.00,-5.47,13.32,10,0.00,0.00,16,115,21.53,2.14,14.10
1353,0.00,-5.47,13.44,10,0.00,0.00,16,115,21.10,2.12,14.10
1391,0.00,-5.47,13.32,10,0.00,0.00,16,115,21.00,2.12,14.10
1433,0.00,-5.47,13.32,10,0.00,0.00,16,115,21.00,2.14,14.20
1476,0.00,-5.47,13.44,10,0.00,0.00,16,115,21.19,2.12,14.20
1511,0.00,-5.47,13.44,10,0.00,0.00,16,115,21.19,2.12,14.20
1558,0.00,-5.47,13.44,10,0.00,0.00,16,115,20.75,2.12,14.20
1591,0.00,-5.47,13.32,10,0.00,0.00,16,115,21.09,2.12,14.20
1637,0.00,-5.47,13.32,10,0.00,0.00,16,115,21.09,2.14,14.20
1682,0.00,-5.47,13.55,10,0.00,0.00,16,115,20.14,2.10,14.20
1722,0.00,-5.47,13.55,10,0.00,0.00,16,115,20.14,2.10,14.30
1756,0.00,-5.47,13.44,10,0.00,0.00,16,115,16.29,1.94,14.30
1807,0.00,-5.47,13.44,10,0.00,0.00,16,115,15.41,1.96,14.20
1846,0.00,-5.47,13.44,10,0.00,0.00,16,115,15.41,1.96,14.20
1883,0.00,-5.47,14.59,10,0.00,0.00,16,115,15.55,1.96,14.20
1928,0.00,-5.47,16.42,10,0.00,0.00,16,115,15.05,1.94,14.20
1963,0.00,-5.47,16.42,10,0.00,0.00,16,115,15.05,1.94,14.20
2010,0.00,-5.47,21.71,10,0.00,0.00,16,115,14.28,1.90,17.60
2043,0.00,-5.47,25.61,10,0.00,0.00,16,115,13.65,1.90,17.60
2090,0.00,-5.47,25.61,10,0.00,0.00,16,115,13.65,1.88,17.60
2133,0.00,-5.47,25.61,10,0.00,0.00,16,115,13.26,1.86,24.20
2163,0.00,-5.47,25.61,10,0.00,0.00,16,115,13.26,1.86,24.20
2215,0.00,-5.47,25.61,10,0.00,0.00,16,115,12.41,1.84,36.30
2242,0.00,-5.47,24.23,10,0.00,0.00,16,115,12.25,1.82,36.30
2290,0.00,-5.47,24.23,10,0.00,0.00,16,115,12.25,1.82,36.30
2337,0.00,-5.47,24.35,10,0.00,0.00,16,115,11.93,1.80,67.10
2380,0.00,-5.47,24.35,10,0.00,0.00,16,115,11.82,1.80,67.10
2405,0.00,-5.47,24.35,10,0.00,0.00,16,115,11.82,1.80,67.10
2462,0.00,-5.47,23.89,10,0.00,0.00,16,115,11.35,1.78,86.70
2490,0.00,-5.47,23.89,10,0.00,0.00,16,115,11.35,1.78,86.70
2539,0.00,-5.47,23.77,10,0.00,0.00,16,115,11.88,1.82,96.00
2584,0.00,-5.47,23.89,10,0.00,0.00,16,115,11.88,1.82,96.00
2626,0.00,-5.47,23.89,10,0.00,0.00,16,115,11.88,1.82,96.00
2658,0.00,-5.47,23.89,10,0.00,0.00,16,115,11.61,1.80,96.00
2712,0.00,-5.47,24.12,10,0.00,0.00,16,115,11.93,1.80,96.00
2746,0.00,-5.47,24.12,10,0.00,0.00,16,115,11.93,1.84,96.00
2789,0.00,-5.47,24.12,10,0.00,0.00,16,115,14.02,1.90,96.00
2831,0.00,-5.47,24.12,10,0.00,0.00,16,115,14.02,1.90,96.00
2862,0.00,-5.47,24.00,10,0.00,0.00,16,115,14.28,1.92,96.00
2913,0.00,-5.47,23.89,10,0.00,0.00,16,115,15.55,1.96,96.00
2955,0.00,-5.47,23.89,10,0.00,0.00,16,115,15.55,1.96,96.00
2991,0.00,-5.47,22.97,10,0.00,0.00,16,115,16.81,2.02,96.00
3036,0.00,-5.47,15.39,10,0.00,0.00,16,115,17.50,2.02,39.30
3072,0.00,-5.47,15.39,10,0.00,0.00,16,117,20.06,2.10,39.30
3113,-2.34,-5.47,14.13,8,0.00,0.00,16,117,21.27,2.14,15.00
3159,-1.56,-5.47,14.13,8,0.00,0.00,16,117,21.27,2.14,15.00
3192,-1.56,-5.47,14.24,8,0.00,0.00,16,117,23.06,2.18,15.00
3241,-0.78,-5.47,14.70,8,0.00,0.00,16,117,23.63,2.20,14.90
3279,0.00,-5.47,14.70,8,0.00,0.00,16,117,23.63,2.20,14.90
3313,0.00,-5.47,14.81,8,0.00,0.00,16,117,24.02,2.20,15.30
3360,0.00,-5.47,14.70,8,0.00,0.00,16,117,25.30,2.20,15.30
3391,-1.56,-5.47,14.70,8,0.00,0.00,16,117,25.30,2.26,15.30
3447,-1.56,-5.47,14.36,8,0.00,0.00,16,117,26.82,2.28,15.00
3488,-1.56,-5.47,14.36,8,0.00,0.00,16,117,26.82,2.28,15.00
3529,-0.78,-5.47,14.59,8,0.00,0.00,16,117,28.72,2.34,14.80
3565,-0.78,-5.47,14.70,8,0.00,0.00,16,117,31.14,2.38,14.80
3610,-0.78,-5.47,14.70,8,0.00,0.00,16,117,31.14,2.38,15.00
3652,-0.78,-5.47,14.70,8,0.00,0.00,16,117,31.59,2.38,15.00
3691,-0.78,-5.47,14.59,8,0.00,0.00,16,117,31.81,2.38,15.00
3734,-1.56,-5.47,14.59,8,0.00,0.00,16,117,31.81,2.42,14.70
3762,-1.56,-5.47,14.59,8,0.00,0.00,16,117,33.45,2.44,14.70
3816,-0.78,-5.47,14.59,8,0.00,0.00,16,117,33.45,2.44,14.70
3854,-0.78,-5.47,14.81,8,0.00,0.00,16,117,33.20,2.42,14.70
3899,-0.78,-5.47,14.70,8,0.00,0.00,16,117,33.94,2.44,14.70
3939,-0.78,-5.47,14.70,8,0.00,0.00,16,117,33.94,2.44,14.70
3975,-0.78,-5.47,14.70,8,0.00,0.00,16,117,33.57,2.44,14.70
4022,0.00,-5.47,14.81,8,0.00,0.00,16,117,34.06,2.44,14.90
4063,0.00,-5.47,14.81,8,0.00,0.00,16,117,34.06,2.44,14.90
4091,0.00,-5.47,14.81,8,0.00,0.00,16,117,34.17,2.44,14.90
4146,0.78,-5.47,14.81,8,0.00,0.00,16,117,34.17,2.44,15.00
4185,0.78,-5.47,14.93,8,0.00,0.00,16,117,34.06,2.44,15.00
