Time,Air/Fuel Correction #1 (%),Battery Voltage (V),Engine Load (g/cyl),Air/Fuel Learning #1 (%),Advance Multiplier,Vehicle Speed (KPH),Neutral Position Switch Signal (On/Off),Primary Wastegate Duty Cycle (%),Intake Air Temperature (B C),Manifold Absolute Pressure (Bar),Air Flow Sensor Voltage (V),Mass Air Flow (g/s),Knock Correction (B BTDC),Engine Speed (RPM),Ignition Timing (B BTDC),Throttle Opening Angle (%),Coolant Temperature (B C),Air/Fuel Sensor #1 (AFR),Air/Fuel Correction #3 (%),Knock Signal #1 (On/Off),Fuel Injector #1 Pulse Width (%),
0, -6.25, 13.68, 0.6, -4.69, 16, 0, 1, 0, 41, 0.37, 1.42, 5.14, 0, 1022, 9.5, 0, 71, 14.59, 0, 0, 1.96,
231, -5.47, 13.76, 0.6, -4.69, 16, 0, 1, 0, 41, 0.37, 1.42, 5.08, 0, 1023, 9.5, 0, 71, 14.47, 0, 0, 1.96,
484, -5.47, 13.76, 0.61, -4.69, 16, 0, 1, 0, 41, 0.36, 1.42, 5.14, 0, 1028, 9, 0, 71, 14.59, 0, 0, 1.97,
716, -6.25, 13.84, 0.6, -4.69, 16, 0, 1, 0, 41, 0.37, 1.42, 5.14, 0, 1015, 10.5, 0, 71, 14.59, 0, 0, 1.95,
963, -6.25, 13.84, 0.61, -4.69, 16, 0, 1, 0, 41, 0.37, 1.4, 5.1, 0, 1018, 9.5, 0, 71, 14.47, 0, 0, 1.95,
1200, -6.25, 13.84, 0.6, -4.69, 16, 0, 1, 0, 41, 0.37, 1.4, 5.14, 0, 1016, 10, 0, 71, 14.7, 0, 0, 1.95,
1432, -5.47, 13.92, 0.6, -4.69, 16, 0, 1, 0, 41, 0.37, 1.42, 5.08, 0, 1021, 9.5, 0, 71, 14.7, 0, 0, 1.96,
1685, -5.47, 13.84, 0.6, -4.69, 16, 0, 1, 0, 41, 0.37, 1.42, 5.14, 0, 1034, 8, 0, 71, 14.7, 0, 0, 1.98,
1917, -5.47, 13.84, 0.6, -4.69, 16, 0, 1, 0, 41, 0.37, 1.42, 5.14, 0, 1019, 10, 0, 71, 14.7, 0, 0, 1.96,
2164, -5.47, 13.68, 0.59, -4.69, 16, 0, 1, 0, 41, 0.37, 1.42, 5.14, 0, 1030, 8.5, 0, 71, 14.7, 0, 0, 1.98,
2402, -5.47, 13.68, 0.6, -4.69, 16, 0, 1, 0, 41, 0.36, 1.4, 5.08, 0, 1022, 9.5, 0, 71, 14.7, 0, 0, 1.96,
2634, -5.47, 13.68, 0.61, -4.69, 16, 0, 1, 0, 41, 0.37, 1.4, 5.17, 0, 1024, 9.5, 0, 71, 14.59, 0, 0, 1.97,
2872, -6.25, 13.84, 0.6, -4.69, 16, 0, 1, 0, 41, 0.37, 1.4, 5.14, 0, 1029, 9, 0, 71, 14.36, 0, 0, 1.98,
3118, -5.47, 13.84, 0.6, -4.69, 16, 0, 1, 0, 41, 0.36, 1.4, 5.14, 0, 1016, 10.5, 0, 71, 14.59, 0, 0, 1.95,
3350, -6.25, 13.84, 0.59, -4.69, 16, 0, 1, 0, 41, 0.37, 1.4, 5.08, 0, 1030, 9, 0, 71, 14.47, 0, 0, 1.98,
3604, -6.25, 13.6, 0.6, -4.69, 16, 0, 1, 0, 41, 0.37, 1.42, 5.14, 0, 1012, 10.5, 0, 71, 14.36, 0, 0, 1.94,
3836, -6.25, 13.76, 0.59, -4.69, 16, 0, 1, 0, 41, 0.37, 1.42, 5.08, 0, 1033, 8, 0, 71, 14.47, 0, 0, 1.98,
4074, -6.25, 13.68, 0.6, -4.69, 16, 0, 1, 0, 41, 0.36, 1.42, 5.1, 0, 1019, 10, 0, 71, 14.36, 0, 0, 1.96,
4321, -6.25, 13.84, 0.59, -4.69, 16, 0, 1, 0, 41, 0.36, 1.4, 5.08, 0, 1026, 9.5, 0, 71, 14.47, 0, 0, 1.97,
4553, -7.03, 13.84, 0.61, -4.69, 16, 0, 1, 0, 41, 0.37, 1.4, 5.14, 0, 1003, 11.5, 0, 71, 14.36, 0, 0, 1.93,
4791, -6.25, 13.76, 0.6, -4.69, 16, 0, 1, 0, 41, 0.37, 1.4, 5.14, 0, 1017, 9.5, 0, 71, 14.59, 0, 0, 1.95,
5038, -6.25, 13.84, 0.61, -4.69, 16, 0, 1, 0, 41, 0.37, 1.42, 5.1, 0, 1016, 10, 0, 71, 14.7, 0, 0, 1.95,
5276, -6.25, 13.84, 0.6, -4.69, 16, 0, 1, 0, 41, 0.37, 1.42, 5.1, 0, 1004, 11, 0, 71, 14.47, 0, 0, 1.93,
5523, -5.47, 13.84, 0.59, -4.69, 16, 0, 1, 0, 41, 0.37, 1.4, 5.08, 0, 1024, 9, 0, 71, 14.7, 0, 0, 1.97,
5754, -5.47, 13.68, 0.6, -4.69, 16, 0, 1, 0, 41, 0.37, 1.4, 5.08, 0, 1020, 9.5, 0, 71, 14.81, 0, 0, 1.96,
5993, -5.47, 13.68, 0.59, -4.69, 16, 0, 1, 0, 41, 0.37, 1.4, 5.08, 0, 1038, 7.5, 0, 71, 14.7, 0, 0, 1.99,
6240, -5.47, 13.76, 0.6, -4.69, 16, 0, 1, 0, 41, 0.36, 1.4, 5.14, 0, 1028, 9, 0, 71, 14.81, 0, 0, 1.97,
6478, -5.47, 13.84, 0.59, -4.69, 16, 0, 1, 0, 41, 0.37, 1.42, 5.08, 0, 1020, 10, 0, 71, 14.59, 0, 0, 1.96,
6725, -5.47, 13.84, 0.6, -4.69, 16, 0, 1, 0, 41, 0.37, 1.42, 5.14, 0, 1024, 9.5, 0, 71, 14.47, 0, 0, 1.97,
6956, -5.47, 13.84, 0.61, -4.69, 16, 0, 1, 0, 41, 0.37, 1.42, 5.14, 0, 1002, 11.5, 0, 72, 14.7, 0, 0, 1.92,
7194, -4.69, 13.68, 0.6, -4.69, 16, 0, 1, 0, 41, 0.37, 1.4, 5.04, 0, 1027, 9, 0, 72, 14.7, 0, 0, 1.97,
7441, -5.47, 13.76, 0.6, -4.69, 16, 0, 1, 0, 41, 0.36, 1.4, 5.08, 0, 1014, 10.5, 0, 72, 14.7, 0, 0, 1.95,
7678, -5.47, 13.84, 0.6, -4.69, 16, 0, 1, 0, 41, 0.37, 1.4, 5.04, 0, 1017, 9.5, 0, 72, 14.59, 0, 0, 1.95,
7925, -5.47, 13.84, 0.6, -4.69, 16, 0, 1, 0, 41, 0.37, 1.42, 5.14, 0, 1018, 9.5, 0, 72, 14.59, 0, 0, 1.96,
8157, -5.47, 13.84, 0.6, -4.69, 16, 0, 1, 0, 41, 0.36, 1.4, 5.01, 0, 1025, 9.5, 0, 72, 14.7, 0, 0, 1.97,
8395, -5.47, 13.84, 0.6, -4.69, 16, 0, 1, 0, 41, 0.37, 1.42, 5.1, 0, 1017, 9.5, 0, 72, 14.7, 0, 0, 1.95,
