Time,Air/Fuel Correction #1 (%),Battery Voltage (V),Engine Load (g/cyl),Air/Fuel Learning #1 (%),Advance Multiplier,Vehicle Speed (KPH),Neutral Position Switch Signal (On/Off),Primary Wastegate Duty Cycle (%),Intake Air Temperature (B C),Manifold Absolute Pressure (Bar),Air Flow Sensor Voltage (V),Mass Air Flow (g/s),Knock Correction (B BTDC),Engine Speed (RPM),Ignition Timing (B BTDC),Throttle Opening Angle (%),Coolant Temperature (B C),Air/Fuel Sensor #1 (AFR),Air/Fuel Correction #3 (%),Knock Signal #1 (On/Off),Fuel Injector #1 Pulse Width (%),
0, 0, 13.28, 0.52, -4.69, 16, 0, 1, 0, 65, 0.36, 1.28, 3.58, 0, 828, 9.5, 0, 90, 14.47, 0, 0, 1.59,
234, 0, 13.28, 0.51, -4.69, 16, 0, 1, 0, 65, 0.36, 1.26, 3.58, 0, 834, 9, 0, 90, 14.59, 0, 0, 1.6,
484, 0, 13.28, 0.51, -4.69, 16, 0, 1, 0, 65, 0.36, 1.26, 3.58, 0, 819, 10.5, 0, 90, 14.7, 0, 0, 1.57,
719, 0, 13.2, 0.5, -4.69, 16, 0, 1, 0, 65, 0.36, 1.28, 3.49, 0, 835, 8.5, 0, 90, 14.7, 0, 0, 1.6,
953, 0, 13.28, 0.51, -4.69, 16, 0, 1, 0, 65, 0.35, 1.28, 3.49, 0, 830, 9.5, 0, 90, 14.59, 0, 0, 1.59,
1203, 0, 13.12, 0.52, -4.69, 16, 0, 1, 0, 65, 0.35, 1.26, 3.56, 0, 804, 12, 0, 90, 14.47, 0, 0, 1.54,
1438, 0, 13.28, 0.52, -4.69, 16, 0, 1, 0, 65, 0.36, 1.28, 3.56, 0, 825, 9.5, 0, 90, 14.59, 0, 0, 1.58,
1672, 0, 13.28, 0.49, -4.69, 16, 0, 1, 0, 65, 0.35, 1.26, 3.31, 0, 834, 8.5, 0, 90, 14.7, 0, 0, 1.42,
1922, 0, 13.28, 0.49, -4.69, 16, 0, 1, 0, 65, 0.35, 1.28, 3.45, 0, 842, 8, 0, 89, 14.59, 0, 0, 1.44,
2157, -0.78, 13.36, 0.49, -4.69, 16, 0, 1, 0, 65, 0.35, 1.26, 3.42, 0, 844, 8, 0, 89, 14.47, 0, 0, 1.44,
2391, -0.78, 13.36, 0.51, -5.47, 16, 0, 1, 0, 65, 0.34, 1.28, 3.45, 0, 828, 10, 0, 89, 14.47, 0, 0, 1.41,
2641, 0, 13.36, 0.49, -4.69, 16, 0, 1, 0, 65, 0.35, 1.26, 3.47, 0, 831, 9.5, 0, 89, 14.81, 0, 0, 1.42,
2875, 0, 13.36, 0.49, -4.69, 16, 0, 1, 0, 65, 0.34, 1.26, 3.47, 0, 854, 7, 0, 89, 14.81, 0, 0, 1.46,
3110, 0.78, 13.28, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.26, 3.38, 0, 834, 10, 0, 89, 14.93, 0, 0, 1.42,
3360, 0.78, 13.2, 0.48, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.42, 0, 839, 9.5, 0, 89, 14.81, 0, 0, 1.43,
3594, 0.78, 13.36, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.26, 3.42, 0, 838, 9.5, 0, 89, 14.81, 0, 0, 1.43,
3844, 0.78, 13.28, 0.48, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.4, 0, 863, 7, 0, 89, 14.81, 0, 0, 1.47,
4079, 1.56, 13.36, 0.5, -5.47, 16, 0, 1, 0, 65, 0.34, 1.26, 3.45, 0, 820, 11.5, 0, 89, 14.81, 0, 0, 1.57,
4313, 1.56, 13.28, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.26, 3.4, 0, 855, 7.5, 0, 89, 14.81, 0, 0, 1.46,
4563, 1.56, 13.28, 0.47, -5.47, 16, 0, 1, 0, 65, 0.33, 1.24, 3.33, 0, 856, 8, 0, 89, 14.7, 0, 0, 1.46,
4798, 0.78, 13.28, 0.49, -5.47, 16, 0, 1, 0, 65, 0.33, 1.26, 3.36, 0, 820, 11.5, 0, 89, 14.59, 0, 0, 1.4,
5032, 0.78, 13.28, 0.47, -5.47, 16, 0, 1, 0, 65, 0.33, 1.24, 3.33, 0, 844, 9, 0, 89, 14.59, 0, 0, 1.44,
5282, 0.78, 13.28, 0.47, -5.47, 16, 0, 1, 0, 65, 0.33, 1.24, 3.28, 0, 843, 9.5, 0, 89, 14.59, 0, 0, 1.44,
5517, 0.78, 13.28, 0.49, -5.47, 16, 0, 1, 0, 65, 0.33, 1.26, 3.33, 0, 814, 12, 0, 89, 14.47, 0, 0, 1.39,
5751, 0.78, 13.36, 0.47, -5.47, 16, 0, 1, 0, 65, 0.33, 1.24, 3.3, 0, 834, 9.5, 0, 89, 14.59, 0, 0, 1.42,
6001, 0, 13.28, 0.47, -5.47, 16, 0, 1, 0, 65, 0.33, 1.24, 3.23, 0, 845, 8.5, 0, 89, 14.36, 0, 0, 1.44,
6235, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 65, 0.33, 1.26, 3.31, 0, 818, 11, 0, 89, 14.36, 0, 0, 1.4,
6485, 0, 13.2, 0.47, -5.47, 16, 0, 1, 0, 65, 0.33, 1.24, 3.25, 0, 825, 9, 0, 89, 14.59, 0, 0, 1.41,
6720, 0, 13.04, 0.47, -5.47, 16, 0, 1, 0, 65, 0.33, 1.24, 3.23, 0, 832, 9.5, 0, 89, 14.59, 0, 0, 1.42,
6954, 0, 13.2, 0.48, -5.47, 16, 0, 1, 0, 65, 0.33, 1.24, 3.25, 0, 802, 12, 0, 89, 14.59, 0, 0, 1.37,
7204, 0, 13.36, 0.47, -5.47, 16, 0, 1, 0, 65, 0.33, 1.24, 3.28, 0, 823, 9.5, 0, 89, 14.59, 0, 0, 1.41,
7439, 0, 13.36, 0.47, -5.47, 16, 0, 1, 0, 65, 0.33, 1.24, 3.19, 0, 814, 10.5, 0, 89, 14.59, 0, 0, 1.39,
7673, 0, 13.36, 0.48, -5.47, 16, 0, 1, 0, 65, 0.33, 1.24, 3.25, 0, 804, 11.5, 0, 89, 14.7, 0, 0, 1.37,
7923, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 65, 0.33, 1.24, 3.25, 0, 825, 8.5, 0, 89, 14.59, 0, 0, 1.41,
8158, -0.78, 13.2, 0.48, -5.47, 16, 0, 1, 0, 65, 0.33, 1.24, 3.19, 0, 813, 10.5, 0, 89, 14.47, 0, 0, 1.39,
8392, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 65, 0.33, 1.24, 3.25, 0, 797, 11.5, 0, 89, 14.59, 0, 0, 1.36,
8642, 0, 13.36, 0.48, -5.47, 16, 0, 1, 0, 65, 0.33, 1.24, 3.28, 0, 818, 9, 0, 88, 14.59, 0, 0, 1.4,
8878, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 65, 0.33, 1.24, 3.25, 0, 821, 9, 0, 88, 14.7, 0, 0, 1.4,
9112, 0, 13.36, 0.5, -5.47, 16, 0, 1, 0, 65, 0.33, 1.24, 3.31, 0, 801, 10.5, 0, 88, 14.7, 0, 0, 1.37,
9362, -0.78, 13.36, 0.48, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.28, 0, 811, 9.5, 0, 88, 14.36, 0, 0, 1.38,
9596, -0.78, 13.36, 0.5, -5.47, 16, 0, 1, 0, 65, 0.33, 1.24, 3.25, 0, 811, 9.5, 0, 88, 14.47, 0, 0, 1.38,
9846, -0.78, 13.28, 0.51, -5.47, 16, 0, 1, 0, 65, 0.34, 1.26, 3.31, 0, 780, 13, 0, 88, 14.59, 0, 0, 1.5,
10081, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 65, 0.34, 1.26, 3.33, 0, 823, 8, 0, 88, 14.59, 0, 0, 1.4,
10316, 0, 13.2, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.26, 3.33, 0, 816, 9, 0, 88, 14.7, 0, 0, 1.39,
10566, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.33, 0, 805, 10, 0, 88, 14.81, 0, 0, 1.37,
10800, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.33, 0, 817, 9, 0, 88, 14.81, 0, 0, 1.39,
11034, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.33, 0, 810, 9.5, 0, 88, 14.7, 0, 0, 1.38,
11285, 0, 13.2, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.26, 3.36, 0, 811, 9.5, 0, 88, 14.59, 0, 0, 1.38,
11519, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.26, 3.33, 0, 817, 9, 0, 88, 14.7, 0, 0, 1.39,
11753, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.33, 0, 833, 7.5, 0, 88, 14.7, 0, 0, 1.42,
12003, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.33, 0, 816, 9.5, 0, 88, 14.59, 0, 0, 1.39,
12238, 0, 13.36, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.33, 0, 811, 10, 0, 88, 14.59, 0, 0, 1.38,
12488, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.26, 3.3, 0, 825, 8.5, 0, 88, 14.59, 0, 0, 1.41,
12722, 0, 13.28, 0.5, -5.47, 16, 0, 1, 0, 65, 0.34, 1.26, 3.33, 0, 799, 11, 0, 88, 14.7, 0, 0, 1.36,
12956, 0, 13.36, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.33, 0, 832, 7.5, 0, 88, 14.7, 0, 0, 1.42,
13207, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.36, 0, 822, 9, 0, 88, 14.7, 0, 0, 1.4,
13441, 0, 13.12, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.33, 0, 814, 9.5, 0, 88, 14.7, 0, 0, 1.39,
13676, 0, 13.2, 0.48, -5.47, 16, 0, 1, 0, 65, 0.34, 1.26, 3.33, 0, 842, 7, 0, 88, 14.81, 0, 0, 1.44,
13925, 0, 13.2, 0.48, -5.47, 16, 0, 1, 0, 65, 0.34, 1.26, 3.33, 0, 820, 9.5, 0, 88, 14.7, 0, 0, 1.4,
14160, 0, 13.28, 0.5, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.33, 0, 803, 11, 0, 88, 14.7, 0, 0, 1.37,
14410, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.33, 0, 839, 7, 0, 88, 14.59, 0, 0, 1.43,
14644, 0, 13.28, 0.5, -5.47, 16, 0, 1, 0, 65, 0.33, 1.26, 3.38, 0, 796, 11.5, 0, 88, 14.59, 0, 0, 1.36,
14879, 0, 13.36, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.26, 3.36, 0, 808, 10.5, 0, 88, 14.59, 0, 0, 1.38,
15129, 0, 13.36, 0.48, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.31, 0, 826, 8, 0, 88, 14.47, 0, 0, 1.41,
15364, -0.78, 13.28, 0.5, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.33, 0, 824, 9, 0, 88, 14.36, 0, 0, 1.41,
15598, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.33, 0, 821, 9, 0, 88, 14.7, 0, 0, 1.4,
15848, 0, 13.36, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.26, 3.33, 0, 815, 10, 0, 88, 14.81, 0, 0, 1.39,
16082, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.26, 3.33, 0, 816, 9.5, 0, 88, 14.7, 0, 0, 1.39,
16317, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.33, 0, 824, 9, 0, 88, 14.81, 0, 0, 1.41,
16567, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 65, 0.34, 1.24, 3.33, 0, 823, 9, 0, 88, 14.7, 0, 0, 1.4,
16801, 0, 13.28, 0.5, -5.47, 16, 0, 1, 0, 65, 0.34, 1.26, 3.36, 0, 808, 10.5, 0, 88, 14.7, 0, 0, 1.38,
17051, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 65, 0.34, 1.26, 3.33, 0, 816, 9.5, 0, 88, 14.7, 0, 0, 1.39,
17286, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 824, 9, 0, 88, 14.59, 0, 0, 1.41,
17520, 0, 13.12, 0.5, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.36, 0, 812, 10.5, 0, 88, 14.59, 0, 0, 1.39,
17770, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.36, 0, 812, 10.5, 0, 88, 14.7, 0, 0, 1.38,
18004, 0, 13.36, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.33, 0, 828, 8.5, 0, 88, 14.59, 0, 0, 1.41,
18239, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.36, 0, 806, 11.5, 0, 88, 14.59, 0, 0, 1.37,
18489, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 816, 10, 0, 88, 14.59, 0, 0, 1.39,
18723, 0, 13.36, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.33, 0, 818, 9.5, 0, 88, 14.47, 0, 0, 1.4,
18958, 0, 13.36, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.36, 0, 810, 10.5, 0, 88, 14.7, 0, 0, 1.38,
19208, 0, 13.36, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 817, 9.5, 0, 88, 14.7, 0, 0, 1.39,
19442, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 838, 7.5, 0, 88, 14.59, 0, 0, 1.43,
19692, 0, 13.2, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 807, 11, 0, 88, 14.7, 0, 0, 1.38,
19926, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.33, 0, 814, 10, 0, 88, 14.7, 0, 0, 1.39,
20161, 0, 13.36, 0.47, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 830, 8, 0, 88, 14.81, 0, 0, 1.42,
