Time (msec),A/F Sensor #1 (Direct)* (AFR),Atmospheric Pressure (psi),CL/OL Fueling* (status),Coolant Temperature (F),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%)
0,15.57,14.36,8,190,970,0.00,0.00,74.90,1.66,0.00,4.35,0.00
172,15.72,14.36,8,190,986,0.00,0.00,74.90,1.68,0.00,4.50,0.00
359,15.66,14.36,8,190,1010,0.00,0.00,74.90,1.72,0.00,4.50,0.00
531,15.42,14.36,8,190,1000,0.00,0.00,74.90,1.49,0.00,4.35,0.00
703,15.39,14.36,8,190,947,0.00,0.00,74.90,1.62,0.00,4.35,0.00
875,15.63,14.36,8,192,981,0.00,0.00,74.90,1.67,0.00,4.50,0.00
1047,15.97,14.36,8,190,997,0.00,0.00,74.90,1.49,0.00,4.50,0.00
1219,15.82,14.36,8,192,941,0.00,0.00,74.90,1.61,0.00,4.64,0.00
1391,15.33,14.36,8,192,997,0.00,0.00,74.90,1.70,0.00,4.64,0.00
1563,15.63,14.36,8,192,975,0.00,0.00,74.90,1.66,0.00,4.64,0.00
1735,15.63,14.36,8,192,997,0.00,0.00,74.90,1.70,0.00,4.64,0.00
1906,15.66,14.36,8,192,1013,0.00,0.00,74.90,1.73,0.00,4.64,0.00
2078,15.48,14.36,8,192,988,0.00,0.00,74.90,1.72,0.00,4.50,0.00
2255,15.39,14.36,8,192,994,0.00,0.00,74.90,1.70,0.00,4.64,0.00
2427,15.36,14.36,8,192,1023,0.00,0.00,74.90,1.75,0.00,4.64,0.00
2614,14.92,14.36,8,192,1024,0.00,0.00,74.90,1.52,0.00,4.50,0.00
2775,14.92,14.36,8,192,980,0.00,0.00,74.90,1.88,0.00,4.50,0.00
2964,15.21,14.36,8,192,1012,0.00,0.00,74.90,1.73,0.00,4.64,0.00
3135,15.32,14.36,8,192,1014,0.00,0.00,74.90,1.76,0.00,4.50,0.00
3307,15.00,14.36,8,192,984,0.00,0.00,74.90,1.68,0.00,4.64,0.00
3479,15.78,14.36,8,192,1026,0.00,0.00,74.90,1.75,0.00,4.64,0.00
3651,15.40,14.36,8,192,1025,0.00,0.00,74.90,1.75,0.00,4.50,0.00
3823,14.95,14.36,8,192,1036,0.00,0.00,74.90,1.77,0.00,4.50,0.00
3995,14.78,14.36,8,192,1015,0.00,0.00,74.90,1.73,0.00,4.50,0.00
4167,14.82,14.36,8,192,1031,0.00,0.00,74.90,1.76,0.00,4.50,0.00
4339,14.70,14.36,8,192,1047,0.00,0.00,74.90,1.79,0.00,4.50,0.00
4510,14.63,14.36,8,192,1033,0.00,0.00,74.90,1.76,0.00,4.35,0.00
4682,14.74,14.36,8,192,1037,0.00,0.00,74.90,1.77,0.00,4.35,0.00
4859,14.92,14.36,8,192,1022,0.00,0.00,74.90,1.74,0.00,4.35,0.00
5035,14.84,14.36,8,192,1038,0.00,0.00,74.90,1.76,0.00,4.35,0.00
5207,14.77,14.36,8,192,1050,0.00,0.00,74.90,1.79,0.00,4.35,0.00
