Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Coolant Temperature (F)
0,2.34,15.39,0.10,0.00,1.73,0.00,4.64,3.50,0.00,-1.18,0.00,183
188,1.56,15.16,0.10,0.00,1.72,0.00,4.64,3.62,0.00,-1.18,0.00,183
375,1.56,14.93,0.11,0.00,1.74,0.00,4.50,3.47,0.00,-1.18,0.00,183
547,2.34,15.16,0.11,0.00,1.75,0.00,4.50,3.67,0.00,-1.18,0.00,183
734,3.12,15.16,0.10,0.00,1.55,0.00,4.50,3.36,0.00,-1.18,0.00,185
922,1.56,14.70,0.10,0.00,1.79,0.00,4.35,3.40,0.00,-1.18,0.00,185
1094,1.56,14.47,0.09,0.00,1.53,0.00,4.35,2.99,0.00,-1.18,0.00,185
1281,2.34,14.59,0.12,0.00,1.89,0.00,4.50,3.75,0.00,-1.18,0.39,185
1469,3.12,14.93,0.16,0.00,2.70,0.00,5.08,5.39,36.08,-1.18,1.96,185
1641,-3.12,13.44,0.16,0.00,2.69,0.00,5.80,6.01,36.08,-1.18,3.14,185
1828,-10.16,12.17,0.18,0.00,3.15,0.00,5.95,7.29,36.47,-1.49,4.31,185
2005,-0.78,14.59,0.19,0.00,3.83,0.00,6.38,9.09,36.47,-1.80,4.71,185
2192,-4.69,14.47,0.20,0.00,3.83,0.00,6.53,9.44,36.47,-1.80,5.10,185
2379,-4.69,14.36,0.22,0.00,4.09,0.00,6.82,10.23,36.47,-1.80,5.49,185
2556,-4.69,14.47,0.23,0.00,4.25,0.00,7.55,10.94,36.47,-1.80,5.88,185
2743,-4.69,14.47,0.26,0.00,4.18,0.00,7.98,11.56,36.47,-1.80,6.67,185
2915,-3.91,14.70,0.28,0.00,4.65,0.00,8.56,12.31,36.47,-1.80,7.06,185
3103,-3.12,14.93,0.30,0.00,4.54,0.00,9.14,12.90,36.47,-1.49,7.45,185
3290,-3.12,14.81,0.32,0.00,4.94,0.00,9.72,13.60,36.47,-1.49,7.84,185
3462,-1.56,15.16,0.35,0.00,4.81,0.00,10.30,13.67,36.47,-1.49,8.24,185
3650,-3.91,14.70,0.38,0.00,4.36,0.00,11.46,13.31,36.47,-1.18,8.63,185
3821,-4.69,14.24,0.38,0.00,5.17,0.00,12.04,14.93,36.47,-1.18,11.37,185
4009,2.34,15.73,0.37,0.00,5.45,0.00,12.33,16.46,36.47,-1.49,12.16,185
4196,2.34,15.73,0.38,0.00,6.47,0.00,12.33,18.59,36.47,-1.80,13.33,185
4368,3.91,15.39,0.37,0.00,6.97,0.00,12.33,19.91,36.47,-2.11,13.73,185
4556,5.47,15.62,0.37,0.00,8.11,0.00,12.04,22.60,36.47,-2.42,14.12,185
4743,5.47,15.16,0.37,0.00,8.87,0.00,11.90,24.69,36.47,-2.42,14.12,185
4915,6.25,15.04,0.37,0.00,9.41,0.00,11.90,26.41,36.47,-2.73,14.90,185
5103,5.47,14.70,0.37,0.00,10.27,0.00,11.75,27.54,36.47,-2.11,15.29,185
5290,3.12,14.36,0.39,0.00,11.96,0.00,11.90,31.33,36.47,-2.11,15.69,185
5477,2.34,14.13,0.39,0.00,12.43,0.00,11.75,34.51,36.47,-2.42,16.08,185
5649,1.56,14.24,0.39,0.00,13.32,0.00,11.90,36.80,36.47,-1.80,16.47,185
5837,0.78,14.36,0.39,0.00,13.82,0.00,11.75,38.56,35.69,-2.11,16.47,185
6009,0.78,14.47,0.38,0.00,14.02,0.00,11.75,39.79,34.51,-2.42,16.08,185
6196,0.78,14.47,0.34,0.00,14.05,0.00,11.46,38.43,33.73,-3.35,12.94,185
6384,0.00,11.94,0.15,0.00,0.00,0.00,5.08,16.55,36.47,-5.49,0.00,185
6555,0.00,17.92,0.20,0.00,0.00,0.00,3.92,19.82,36.47,-4.87,0.00,185
6743,0.00,21.36,0.21,0.00,0.00,0.00,3.77,19.67,36.47,-4.56,0.00,185
6930,0.00,24.92,0.20,0.00,0.00,0.00,3.77,16.31,36.47,-3.94,1.18,185
7102,0.00,23.77,0.21,0.00,6.85,0.00,4.50,16.46,36.47,-3.35,6.67,185
7290,-13.28,11.14,0.20,0.00,5.74,0.00,6.09,15.78,36.47,-3.64,7.45,185
7477,-3.91,14.81,0.22,0.00,6.68,0.00,6.82,17.15,36.47,-3.64,7.84,185
7649,-7.03,14.47,0.27,0.00,7.29,0.00,7.40,18.80,36.47,-3.35,10.20,185
7837,-12.50,13.90,0.33,0.00,6.89,0.00,9.14,20.61,36.47,-3.04,11.76,185
8024,-6.25,14.81,0.40,0.00,8.45,0.00,11.32,25.78,36.47,-2.11,16.08,185
8196,-6.25,15.16,0.43,0.00,9.37,0.00,13.06,29.68,36.47,-0.27,19.22,187
8384,-1.56,15.85,0.44,0.00,10.30,0.00,13.78,31.23,36.47,1.57,21.57,187
8571,-0.78,15.62,0.45,0.00,11.14,0.00,13.93,32.56,36.08,2.19,21.96,187
8743,2.34,15.50,0.45,0.00,12.04,0.00,14.22,34.51,36.08,2.49,21.18,187
8930,0.00,14.81,0.41,0.00,10.85,0.00,13.20,31.10,36.08,-1.18,16.08,187
9118,1.56,14.93,0.36,0.00,10.45,0.00,11.46,27.86,36.08,-3.64,12.16,187
9290,-0.78,14.01,0.28,0.00,9.20,0.00,10.45,22.18,36.08,-3.64,8.24,187
9482,-0.78,13.90,0.23,0.00,7.23,0.00,8.27,18.88,36.08,-3.64,7.84,187
9654,0.78,15.16,0.21,0.00,7.30,0.00,7.55,19.11,36.08,-3.94,7.45,187
9841,1.56,14.93,0.20,0.00,6.29,0.00,7.11,17.00,36.08,-3.64,7.06,187
10029,2.34,14.93,0.18,0.00,6.39,0.00,6.24,15.78,36.08,-3.94,4.71,187
10201,-6.25,13.67,0.15,0.00,4.79,0.00,5.08,11.39,36.08,-3.94,3.53,187
10388,-7.03,13.21,0.14,0.00,4.30,0.00,4.64,11.71,36.08,-3.94,3.53,187
10575,-8.59,14.01,0.14,0.00,4.79,0.00,4.50,11.82,36.08,-3.94,3.53,187
10747,-13.28,13.44,0.14,0.00,4.23,0.00,4.35,11.77,36.08,-3.94,3.53,187
10935,-13.28,14.13,0.14,0.00,4.24,0.00,4.35,11.50,36.08,-3.64,3.53,187
11122,-12.50,14.59,0.14,0.00,4.33,0.00,4.35,11.51,36.08,-3.94,3.53,187
11294,-12.50,14.70,0.13,0.00,4.23,0.00,4.35,10.94,36.08,-3.94,3.53,187
11486,-13.28,14.47,0.13,0.00,4.15,0.00,4.35,10.99,36.08,-3.94,3.53,187
11658,-13.28,14.59,0.13,0.00,4.24,0.00,4.35,11.05,36.08,-3.94,3.14,187
11846,-13.28,14.59,0.13,0.00,4.22,0.00,4.35,10.74,36.08,-3.94,3.14,187
12037,-12.50,14.81,0.13,0.00,4.27,0.00,4.35,10.89,36.08,-3.64,3.14,187
12209,-12.50,14.70,0.13,0.00,4.21,0.00,4.35,10.49,36.08,-3.64,3.53,187
12397,-13.28,14.47,0.13,0.00,4.20,0.00,4.35,10.69,36.08,-3.64,3.53,187
12569,-12.50,14.70,0.12,0.00,4.17,0.00,4.35,10.23,36.08,-3.64,3.53,187
12756,-11.72,14.81,0.13,0.00,4.20,0.00,4.35,10.49,36.08,-3.64,3.53,187
12943,-11.72,14.81,0.13,0.00,4.15,0.00,4.35,10.28,36.08,-3.64,3.53,187
13115,-12.50,14.47,0.12,0.00,4.13,0.00,4.50,10.03,36.08,-3.64,3.53,187
13303,-11.72,14.81,0.13,0.00,4.16,0.00,4.50,10.54,36.08,-3.64,3.53,187
13490,-12.50,14.59,0.14,0.00,4.67,0.00,4.50,10.45,36.08,-3.64,3.92,187
13665,-13.28,14.36,0.13,0.00,4.63,0.00,4.64,10.85,36.08,-3.64,3.92,187
13853,-14.06,14.36,0.13,0.00,4.10,0.00,4.64,10.58,36.08,-3.64,3.92,187
14025,-13.28,14.70,0.13,0.00,4.64,0.00,4.64,10.69,36.08,-3.64,3.92,187
14212,-12.50,14.81,0.12,0.00,4.61,0.00,4.64,10.49,36.08,-3.64,3.92,187
14400,-12.50,14.70,0.13,0.00,4.60,0.00,4.50,10.49,36.08,-3.64,3.53,187
14572,-13.28,14.59,0.13,0.00,4.10,0.00,4.50,10.47,36.08,-3.64,3.53,187
14759,-14.84,14.24,0.13,0.00,4.09,0.00,4.50,10.28,36.08,-3.64,3.53,187
14947,-14.84,14.36,0.11,0.00,4.05,0.00,4.21,8.78,36.08,-3.64,2.35,187
15128,-16.41,14.24,0.11,0.00,3.54,0.00,4.06,8.39,36.08,-3.64,2.35,187
15315,-15.62,14.59,0.11,0.00,3.54,0.00,3.92,8.91,36.08,-3.64,2.35,187
15487,-16.41,14.47,0.11,0.00,3.52,0.00,3.92,8.65,36.08,-3.64,2.35,187
15675,-15.62,14.59,0.11,0.00,3.51,0.00,3.92,8.14,36.08,-3.64,2.35,187
15862,-14.84,14.81,0.11,0.00,3.47,0.00,3.92,8.60,36.08,-3.64,2.35,187
16034,-15.62,14.81,0.11,0.00,3.45,0.00,3.92,8.35,36.08,-3.64,2.35,187
16226,-14.84,14.59,0.11,0.00,3.49,0.00,3.77,8.39,36.08,-3.64,2.35,187
16398,-15.62,14.59,0.10,0.00,3.43,0.00,3.77,7.94,36.08,-3.35,2.35,187
16586,-14.84,14.81,0.10,0.00,3.42,0.00,3.92,8.02,36.08,-3.35,2.35,187
16773,-12.50,15.16,0.11,0.00,3.44,0.00,3.77,8.23,36.08,-3.35,2.35,187
16945,-13.28,14.93,0.11,0.00,3.40,0.00,3.77,7.82,36.08,-3.35,2.35,187
17133,-15.62,14.24,0.10,0.00,3.38,0.00,3.92,7.94,36.08,-3.35,2.75,187
17320,-14.84,14.59,0.11,0.00,3.38,0.00,3.92,7.82,36.08,-3.35,2.75,187
17492,-14.06,14.81,0.11,0.00,3.35,0.00,3.92,7.94,36.08,-3.35,2.75,187
17679,-14.06,14.81,0.11,0.00,3.33,0.00,4.06,8.47,36.08,-3.35,3.53,187
17867,-14.84,14.59,0.13,0.00,4.27,0.00,4.35,9.53,36.08,-3.35,4.71,189
18039,-13.28,14.81,0.16,0.00,4.78,0.00,5.22,11.93,36.08,-3.35,5.88,189
18226,-15.62,14.36,0.17,0.00,4.89,0.00,5.80,12.96,36.08,-3.35,6.67,189
18414,-12.50,14.93,0.19,0.00,5.20,0.00,6.24,13.60,36.08,-3.35,7.45,189
18586,-11.72,15.04,0.20,0.00,5.22,0.00,6.53,14.54,36.08,-3.35,7.84,189
18773,-9.38,15.27,0.21,0.00,5.79,0.00,6.96,16.38,36.08,-3.35,8.24,189
18949,-9.38,14.93,0.22,0.00,5.77,0.00,7.25,16.46,36.08,-3.35,8.63,189
19137,-7.03,15.39,0.23,0.00,6.29,0.00,7.55,17.22,36.08,-3.35,9.02,189
19309,-6.25,15.04,0.25,0.00,6.33,0.00,7.69,17.82,36.08,-3.35,9.41,189
19496,-5.47,15.04,0.25,0.00,6.93,0.00,8.13,18.88,36.08,-3.35,9.80,189
19684,-3.91,15.16,0.27,0.00,7.56,0.00,8.42,20.34,36.08,-3.64,10.20,189
19856,-3.12,14.93,0.27,0.00,7.38,0.00,8.71,21.36,36.08,-3.64,10.59,189
20059,-1.56,15.16,0.28,0.00,8.15,0.00,8.85,22.06,35.69,-3.64,10.98,189
20231,-0.78,15.16,0.29,0.00,8.22,0.00,9.14,23.36,35.69,-3.64,10.98,189
20418,-0.78,14.93,0.30,0.00,8.80,0.00,9.43,24.60,35.69,-3.64,11.37,189
20605,0.00,14.93,0.30,0.00,9.04,0.00,9.43,24.88,35.69,-3.64,11.37,189
20777,0.78,14.81,0.30,0.00,9.16,0.00,9.43,25.28,35.69,-3.94,11.37,189
20965,1.56,14.81,0.30,0.00,9.22,0.00,9.29,25.87,35.69,-3.94,11.37,189
21152,0.78,14.47,0.29,0.00,9.36,0.00,9.14,25.27,35.69,-3.94,10.98,189
21327,0.78,14.70,0.29,0.00,9.45,0.00,9.00,25.78,35.69,-4.25,10.98,189
21514,0.78,14.47,0.29,0.00,9.05,0.00,8.85,25.78,35.69,-4.25,10.98,189
21686,-0.78,14.47,0.28,0.00,9.24,0.00,8.85,25.37,35.29,-4.25,10.98,189
21874,0.78,14.81,0.28,0.00,9.35,0.00,8.85,26.29,35.29,-4.25,10.98,189
22061,0.00,14.59,0.28,0.00,9.43,0.00,8.85,26.09,35.29,-4.25,10.98,189
22233,0.00,14.70,0.28,0.00,9.56,0.00,8.71,26.72,35.29,-4.25,10.98,187
22421,0.78,14.81,0.28,0.00,9.45,0.00,8.71,26.20,35.29,-4.56,10.59,187
22608,0.78,14.81,0.27,0.00,9.15,0.00,8.42,25.98,35.29,-4.56,10.20,189
22780,1.56,14.70,0.26,0.00,9.24,0.00,8.27,25.47,35.29,-4.56,9.41,189
22967,0.00,14.59,0.15,0.00,6.75,0.00,5.66,11.24,35.29,-4.56,0.00,189
23155,0.00,11.94,0.15,0.00,0.00,0.00,3.92,14.37,35.29,-4.56,0.00,187
23327,0.00,13.67,0.18,0.00,0.00,0.00,3.63,15.36,35.29,-3.94,0.00,187
23514,0.00,22.28,0.16,0.00,0.00,0.00,3.63,12.90,35.29,-3.64,0.00,187
23702,0.00,23.77,0.16,0.00,0.00,0.00,3.77,10.49,35.29,-2.73,0.00,187
23874,0.00,23.89,0.15,0.00,4.03,0.00,4.06,9.62,35.29,-2.42,1.57,187
24061,0.00,23.66,0.16,0.00,4.10,0.00,4.21,9.13,35.29,-2.42,2.75,187
24249,-7.03,12.29,0.13,0.00,3.91,0.00,4.35,8.95,35.29,-2.73,3.14,187
24436,-15.62,11.48,0.16,0.00,3.43,0.00,4.64,9.48,35.29,-3.04,4.71,187
24608,-11.72,13.44,0.17,0.00,4.25,0.00,5.37,11.04,35.29,-2.73,5.49,187
24795,-12.50,14.36,0.18,0.00,4.24,0.00,5.80,11.35,35.29,-2.73,5.88,187
24983,-10.16,14.81,0.18,0.00,4.19,0.00,6.09,11.93,35.29,-2.73,5.88,187
25170,-8.59,15.27,0.19,0.00,4.68,0.00,6.38,12.37,35.29,-2.73,6.67,187
25342,-6.25,15.39,0.18,0.00,4.65,0.00,6.53,12.90,35.29,-2.73,6.67,187
25519,-3.91,15.39,0.20,0.00,4.69,0.00,6.67,12.85,35.29,-2.73,6.67,187
25711,-3.91,15.39,0.19,0.00,4.71,0.00,6.67,12.96,35.29,-2.73,6.67,187
25883,-4.69,14.70,0.19,0.00,4.73,0.00,6.53,12.42,35.29,-2.73,5.88,187
26070,0.00,14.24,0.12,0.00,3.41,0.00,5.22,6.41,35.29,-2.73,0.78,187
26258,0.00,12.86,0.09,0.00,0.00,0.00,3.92,5.45,35.29,-2.73,0.00,187
26430,0.00,14.70,0.10,0.00,0.00,0.00,3.63,6.81,35.29,-3.04,0.00,187
26617,0.00,22.51,0.10,0.00,0.00,0.00,3.63,6.77,35.29,-2.73,0.00,187
26805,0.00,24.35,0.10,0.00,0.00,0.00,3.63,6.51,35.29,-2.73,0.00,187
26978,0.00,23.54,0.10,0.00,0.00,0.00,3.63,6.48,35.29,-2.73,0.00,187
27165,0.00,23.54,0.10,0.00,0.00,0.00,3.63,6.51,35.29,-2.73,0.00,187
27353,0.00,23.89,0.10,0.00,0.00,0.00,3.63,6.44,35.29,-2.73,0.00,189
27525,0.00,23.77,0.10,0.00,0.00,0.00,3.48,6.51,35.29,-2.73,0.00,189
27712,0.00,23.66,0.11,0.00,0.00,0.00,3.48,6.37,35.29,-2.73,0.00,189
27899,0.00,23.77,0.11,0.00,0.00,0.00,3.63,6.59,35.29,-2.73,0.00,189
28071,0.00,23.66,0.11,0.00,0.00,0.00,3.63,6.66,35.29,-2.42,0.39,189
28259,0.00,23.77,0.12,0.00,0.00,0.00,3.77,6.95,35.29,-2.42,0.78,189
28446,0.00,23.77,0.11,0.00,3.11,0.00,3.92,6.95,35.29,-2.42,1.57,189
28618,0.00,23.43,0.12,0.00,3.41,0.00,3.77,7.03,35.29,-2.42,1.96,189
28806,0.00,16.65,0.12,0.00,3.12,0.00,3.77,7.37,35.29,-2.42,1.96,189
28993,-3.91,12.40,0.11,0.00,3.03,0.00,3.92,6.55,35.29,-2.42,1.96,189
29165,-4.69,12.86,0.15,0.00,3.39,0.00,4.35,8.65,35.29,-2.42,3.92,189
29353,-7.81,13.55,0.22,0.00,4.96,0.00,5.80,11.47,35.29,-2.42,7.06,189
29540,-13.28,12.98,0.23,0.00,4.92,0.00,6.82,13.43,35.29,-2.42,7.45,189
29712,-7.03,14.70,0.19,0.00,4.52,0.00,6.38,9.64,35.29,-2.42,2.35,189
29899,0.00,14.59,0.12,0.00,0.00,0.00,4.64,5.58,35.29,-2.42,0.78,189
30088,0.00,13.78,0.10,0.00,0.00,0.00,3.77,5.67,35.29,-2.42,0.00,189
30260,0.00,15.73,0.11,0.00,0.00,0.00,3.48,6.18,35.29,-2.42,0.00,189
30447,0.00,21.02,0.11,0.00,0.00,0.00,3.48,6.44,35.29,-2.42,0.00,189
30635,0.00,24.81,0.11,0.00,0.00,0.00,3.48,6.37,35.29,-2.42,0.00,189
30807,0.00,23.89,0.12,0.00,0.00,0.00,3.48,6.00,35.29,-2.11,0.00,189
30994,0.00,24.12,0.13,0.00,0.00,0.00,3.92,5.94,35.29,-1.80,0.00,189
31166,0.00,24.00,0.12,0.00,2.12,0.00,4.35,5.17,35.29,-1.49,0.00,189
31354,0.00,23.54,0.10,0.00,2.18,0.00,4.06,4.66,35.29,-1.49,0.00,187
31541,0.00,18.95,0.11,0.00,2.14,0.00,3.92,4.63,35.29,-1.49,0.00,187
31713,-0.78,14.59,0.11,0.00,2.13,0.00,3.92,4.57,35.29,-1.49,0.00,187
31900,-2.34,13.78,0.11,0.00,2.10,0.00,3.92,4.53,35.29,-1.49,0.00,187
32088,-3.12,13.32,0.11,0.00,2.08,0.00,3.92,4.42,35.29,-1.49,0.00,187
32260,-4.69,12.86,0.10,0.00,1.80,0.00,3.92,4.11,35.29,-1.49,0.00,187
32447,-6.25,12.63,0.10,0.00,1.76,0.00,3.92,4.00,35.29,-1.18,0.00,187
32635,-7.03,12.75,0.10,0.00,1.74,0.00,3.92,3.95,35.29,-1.18,0.00,187
32807,-7.81,12.75,0.10,0.00,1.67,0.00,3.92,3.89,35.29,-1.18,0.00,187
32994,-8.59,12.86,0.10,0.00,1.63,0.00,4.06,3.78,35.29,-1.18,0.00,187
33182,-9.38,13.21,0.10,0.00,1.60,0.00,4.06,3.67,35.29,-1.18,0.00,187
33353,-9.38,13.67,0.10,0.00,1.57,0.00,4.06,3.65,35.29,-1.18,0.00,187
33541,-9.38,14.01,0.10,0.00,1.56,0.00,4.06,3.53,35.29,-1.18,0.00,187
33728,-9.38,14.13,0.11,0.00,1.53,0.00,4.06,3.47,35.29,-1.18,0.00,187
33916,-9.38,14.24,0.11,0.00,1.72,0.00,4.21,3.62,35.29,-1.18,0.00,187
34088,-9.38,14.59,0.10,0.00,1.51,0.00,4.21,3.50,35.29,-1.18,0.00,187
34275,-9.38,14.36,0.10,0.00,1.49,0.00,4.21,3.40,35.29,-1.18,0.00,187
34463,-10.16,14.13,0.11,0.00,1.47,0.00,4.35,3.50,35.29,-1.18,0.00,187
34635,-9.38,14.36,0.10,0.00,1.47,0.00,4.35,3.40,35.29,-1.18,0.00,187
34822,-9.38,14.59,0.11,0.00,1.65,0.00,4.50,3.55,35.29,-1.18,0.00,187
35010,-9.38,14.59,0.11,0.00,1.65,0.00,4.50,3.55,35.29,-1.18,0.00,187
35181,-9.38,14.70,0.11,0.00,1.65,0.00,4.64,3.65,35.29,-1.18,0.00,187
35372,-8.59,14.93,0.11,0.00,1.66,0.00,4.64,3.59,35.29,-1.18,0.00,187
35560,-8.59,15.04,0.12,0.00,1.67,0.00,4.79,3.72,35.29,-1.18,0.00,187
35732,-7.81,15.27,0.12,0.00,1.67,0.00,4.79,3.89,35.29,-1.18,0.00,187
35919,-7.81,15.39,0.11,0.00,1.69,0.00,4.79,3.50,35.29,-1.18,0.00,187
36106,-7.81,15.27,0.12,0.00,1.65,0.00,4.93,3.70,35.29,-1.18,0.00,187
36286,-7.03,15.39,0.13,0.00,1.87,0.00,5.08,4.09,35.29,-1.18,0.00,187
36469,-6.25,15.50,0.12,0.00,1.72,0.00,4.93,3.85,35.29,-1.18,0.00,187
36641,-6.25,15.27,0.12,0.00,1.71,0.00,4.93,3.89,35.29,-1.18,0.00,187
36829,-6.25,15.39,0.12,0.00,1.69,0.00,4.93,3.75,35.29,-1.18,0.00,187
37016,-5.47,15.62,0.11,0.00,1.68,0.00,5.08,3.88,35.29,-1.18,0.00,187
37188,-4.69,15.85,0.11,0.00,1.68,0.00,5.08,3.69,35.29,-1.18,0.00,187
37375,-4.69,15.62,0.12,0.00,1.68,0.00,5.08,3.95,35.29,-1.18,0.00,187
37563,-3.12,15.85,0.12,0.00,1.71,0.00,5.08,4.03,35.69,-1.18,0.00,187
37735,-3.12,15.73,0.11,0.00,1.73,0.00,4.93,3.91,35.69,-1.18,0.00,187
37922,-3.12,15.62,0.12,0.00,1.75,0.00,4.93,3.95,35.69,-1.18,0.00,187
38110,-2.34,15.62,0.12,0.00,1.96,0.00,4.93,4.17,35.69,-1.18,0.00,187
38282,-1.56,15.73,0.11,0.00,1.78,0.00,4.79,3.88,35.69,-1.18,0.00,187
38469,-2.34,15.27,0.12,0.00,1.85,0.00,4.79,4.03,35.69,-1.18,0.00,187
38657,-1.56,15.16,0.11,0.00,1.76,0.00,4.79,3.95,35.69,-1.18,0.00,187
38829,0.00,15.27,0.11,0.00,1.76,0.00,4.79,4.00,35.69,-1.18,0.00,187
39016,-0.78,15.39,0.11,0.00,1.78,0.00,4.79,3.88,35.69,-1.18,0.00,187
39203,0.00,15.16,0.12,0.00,1.78,0.00,4.64,3.98,0.00,-1.18,0.00,187
39375,0.00,15.04,0.11,0.00,1.81,0.00,4.64,3.98,0.00,-1.18,0.00,187
39563,0.00,14.81,0.10,0.00,1.81,0.00,4.64,3.67,0.00,-1.18,0.00,187
39750,-1.56,14.47,0.12,0.00,1.73,0.00,4.50,3.98,0.00,-1.18,0.00,187
39922,-0.78,14.59,0.11,0.00,1.77,0.00,4.64,3.88,0.00,-1.18,0.00,187
40110,-0.78,14.59,0.11,0.00,1.80,0.00,4.64,3.85,0.00,-1.18,0.00,187
40297,-2.34,14.24,0.11,0.00,1.79,0.00,4.50,3.80,0.00,-1.18,0.00,187
40469,-0.78,14.59,0.11,0.00,1.76,0.00,4.64,3.88,0.00,-1.18,0.00,187
40657,-0.78,14.70,0.11,0.00,1.76,0.00,4.64,3.67,0.00,-1.18,0.00,187
40844,-0.78,14.81,0.11,0.00,1.79,0.00,4.50,3.80,0.00,-1.18,0.00,187
41016,-0.78,14.70,0.11,0.00,1.77,0.00,4.50,3.80,0.00,-1.18,0.00,187
41203,-0.78,14.59,0.11,0.00,1.78,0.00,4.50,3.82,0.00,-1.18,0.00,187
41391,-1.56,14.47,0.11,0.00,1.79,0.00,4.50,3.72,0.00,-1.18,0.00,187
41563,-2.34,14.36,0.11,0.00,1.77,0.00,4.50,3.59,0.00,-1.18,0.00,187
41750,-2.34,14.36,0.11,0.00,1.74,0.00,4.50,3.72,0.00,-1.18,0.00,187
41922,-1.56,14.70,0.11,0.00,1.75,0.00,4.50,3.78,0.00,-1.18,0.00,187
42110,-0.78,14.70,0.10,0.00,1.77,0.00,4.50,3.55,0.00,-1.18,0.00,187
42297,-1.56,14.70,0.11,0.00,1.71,0.00,4.50,3.72,0.00,-1.18,0.00,187
42484,-0.78,14.81,0.11,0.00,1.73,0.00,4.50,3.72,0.00,-1.18,0.00,187
42656,-0.78,14.70,0.11,0.00,1.75,0.00,4.50,3.59,0.00,-1.18,0.00,187
42844,-3.12,14.13,0.09,0.00,1.75,0.00,4.50,3.56,0.00,-1.18,0.00,187
43031,-2.34,14.13,0.11,0.00,1.70,0.00,4.50,3.53,0.00,-1.18,0.00,187
