Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%)
0,0.00,14.81,0.19,0.00,4.92,0.00,6.67,12.68,34.51,-3.04,7.06
172,0.78,14.93,0.19,0.00,4.94,0.00,6.82,13.42,34.51,-3.04,7.06
354,0.78,14.81,0.20,0.00,5.39,0.00,6.96,14.06,34.51,-3.04,7.45
526,-0.78,14.36,0.21,0.00,5.35,0.00,6.96,14.25,34.51,-3.04,7.45
698,0.78,14.70,0.21,0.00,5.35,0.00,7.11,14.90,34.51,-3.04,7.84
870,-0.78,14.24,0.20,0.00,5.39,0.00,7.40,15.10,34.51,-3.04,8.24
1042,0.00,14.59,0.22,0.00,5.82,0.00,7.55,15.15,34.51,-3.04,8.24
1214,0.00,14.70,0.23,0.00,5.80,0.00,7.69,15.63,34.51,-3.04,8.63
1386,0.00,14.81,0.23,0.00,5.80,0.00,7.98,15.56,34.51,-3.04,8.63
1558,0.78,14.81,0.24,0.00,6.22,0.00,7.98,16.66,34.51,-3.04,9.02
1729,0.78,14.81,0.25,0.00,6.27,0.00,8.27,17.00,34.51,-3.04,9.02
1901,0.00,14.70,0.25,0.00,6.27,0.00,8.27,17.30,34.51,-3.04,9.41
2089,0.78,14.70,0.25,0.00,6.25,0.00,8.42,17.59,34.51,-3.04,9.41
2250,0.78,14.59,0.24,0.00,6.72,0.00,8.56,18.05,34.51,-3.04,9.41
2422,0.78,14.70,0.25,0.00,5.84,0.00,8.56,16.66,34.51,-3.04,9.41
2593,2.34,15.04,0.26,0.00,6.30,0.00,8.56,18.28,34.51,-3.04,9.41
2781,0.78,14.81,0.26,0.00,6.72,0.00,8.56,18.51,34.51,-3.04,9.41
2953,1.56,14.47,0.26,0.00,6.72,0.00,8.71,18.58,34.51,-3.04,9.41
3125,0.78,14.36,0.24,0.00,6.32,0.00,8.71,17.14,34.51,-3.04,9.41
3297,2.34,14.81,0.24,0.00,6.33,0.00,8.42,17.14,34.51,-3.04,8.63
3468,1.56,14.81,0.22,0.00,5.89,0.00,7.84,14.48,34.51,-3.04,7.45
3640,-0.78,14.24,0.19,0.00,5.40,0.00,7.40,13.65,34.90,-3.04,7.06
3817,0.78,14.70,0.19,0.00,4.94,0.00,6.96,13.59,34.90,-3.04,7.06
3989,1.56,14.93,0.20,0.00,4.96,0.00,6.82,13.71,34.90,-3.04,7.06
4161,-1.56,14.13,0.18,0.00,4.98,0.00,6.82,13.35,34.90,-3.04,7.06
4332,0.00,14.36,0.19,0.00,4.97,0.00,6.82,13.65,34.90,-3.04,7.06
4504,-0.78,14.59,0.19,0.00,4.97,0.00,6.82,13.36,34.90,-3.04,7.06
4681,-1.56,14.24,0.19,0.00,5.38,0.00,6.67,13.78,34.90,-3.04,7.06
4853,-1.56,14.47,0.19,0.00,4.95,0.00,6.67,13.35,34.90,-3.04,7.06
5025,-0.78,14.70,0.18,0.00,4.98,0.00,6.67,12.74,34.90,-3.04,7.06
5196,1.56,15.16,0.19,0.00,4.98,0.00,6.67,13.13,34.90,-3.04,7.06
