Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Knocking Signal #1 (On/Off),Gear (Calculated)* (position),Coolant Temperature (F)
0,3.12,14.93,0.11,0.00,1.75,0.00,4.50,3.55,0.00,-1.18,0.00,0,6,190
198,2.34,14.81,0.11,0.00,1.73,0.00,4.50,3.65,0.00,-1.18,0.00,0,6,190
396,0.78,14.36,0.10,0.00,1.73,0.00,4.50,3.62,0.00,-1.18,0.00,0,6,190
596,0.78,14.13,0.11,0.00,1.73,0.00,4.35,3.62,0.00,-1.18,0.00,0,6,190
793,0.00,14.13,0.11,0.00,1.73,0.00,4.50,3.65,0.00,-1.18,0.00,0,6,190
992,0.00,14.24,0.10,0.00,1.73,0.00,4.50,3.42,0.00,-1.18,0.00,0,6,190
1189,0.00,14.36,0.11,0.00,1.73,0.00,4.35,3.42,0.00,-1.18,0.00,0,6,190
1388,0.00,14.47,0.11,0.00,1.73,0.00,4.50,3.60,0.00,-1.18,0.00,0,6,190
1586,0.78,14.70,0.10,0.00,1.72,0.00,4.50,3.30,0.00,-1.18,0.00,0,6,190
1784,0.78,14.59,0.11,0.00,1.72,0.00,4.50,3.62,0.00,-1.18,0.00,0,6,190
1982,0.78,14.70,0.10,0.00,1.73,0.00,4.50,3.47,0.00,-1.18,0.00,0,6,190
2181,0.78,14.70,0.11,0.00,1.70,0.00,4.50,3.62,0.00,-1.18,0.00,0,6,190
2379,0.78,14.59,0.10,0.00,1.74,0.00,4.50,3.58,0.00,-1.18,0.00,0,6,190
2576,0.78,14.70,0.11,0.00,1.71,0.00,4.50,3.65,0.00,-1.18,0.00,0,6,190
2774,0.78,14.70,0.11,0.00,1.72,0.00,4.64,3.47,0.00,-1.18,0.00,0,6,190
2973,1.56,14.93,0.10,0.00,1.74,0.00,4.64,3.62,0.00,-1.18,0.00,0,6,190
3205,2.34,15.16,0.10,0.00,1.76,0.00,4.50,3.47,0.00,-1.18,0.00,0,6,190
3369,3.12,15.27,0.11,0.00,1.72,0.00,4.50,3.52,0.00,-1.18,0.00,0,6,190
3569,3.12,15.04,0.10,0.00,1.78,0.00,4.50,3.69,0.00,-1.18,0.00,0,1,190
3765,2.34,14.93,0.10,0.00,1.77,0.00,4.35,3.56,0.00,-1.18,0.00,0,1,190
3963,2.34,14.81,0.11,0.00,1.76,0.00,4.35,3.58,0.00,-1.18,0.00,0,1,190
4162,3.12,14.70,0.17,0.00,2.62,0.00,4.64,5.07,0.00,-1.18,2.75,0,1,190
4360,0.00,14.59,0.20,0.00,2.91,0.00,5.95,7.06,40.39,-1.18,3.14,0,1,190
4557,-12.50,12.06,0.21,0.00,2.94,0.00,6.82,7.50,40.39,-1.18,3.92,0,1,190
4758,-7.03,12.06,0.24,0.00,3.62,0.00,7.40,9.57,40.39,-1.49,6.27,0,1,190
4958,-2.34,15.04,0.24,0.00,4.81,0.00,8.27,12.64,40.39,-1.80,7.06,0,1,190
5155,-1.56,15.04,0.24,0.00,4.92,0.00,8.42,13.31,40.39,-2.11,7.45,0,1,190
5355,2.34,15.96,0.26,0.00,5.14,0.00,8.42,13.54,40.39,-2.11,7.45,0,1,192
5554,0.78,15.50,0.27,0.00,5.35,0.00,8.85,14.18,40.39,-2.11,7.84,0,1,190
5752,1.56,14.81,0.28,0.00,4.85,0.00,9.14,14.01,40.39,-1.80,8.24,0,1,192
5950,2.34,15.16,0.30,0.00,5.24,0.00,9.58,14.25,40.39,-1.80,8.63,0,1,192
6149,1.56,14.81,0.32,0.00,5.10,0.00,10.01,14.73,40.39,-1.80,9.02,0,1,192
6347,3.91,14.93,0.35,0.00,5.07,0.00,10.59,14.84,40.39,-1.49,9.02,0,1,192
6546,3.91,15.04,0.36,0.00,4.71,0.00,11.32,13.95,40.39,-1.18,9.41,0,1,192
