Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Coolant Temperature (F),Engine Speed (rpm)
0,-10.16,13.67,0.16,0.00,3.47,0.00,4.93,9.53,32.55,-2.42,4.71,192,1810
207,-9.38,14.36,0.18,0.00,4.26,0.00,5.37,10.74,32.55,-2.42,5.10,192,1817
397,-9.38,14.59,0.20,0.00,4.27,0.00,5.80,12.24,32.55,-2.42,6.27,192,1818
600,-9.38,14.70,0.30,0.00,5.49,0.00,6.82,18.21,32.55,-2.42,10.59,192,1854
806,-12.50,14.24,0.35,0.00,7.17,0.00,9.43,22.42,32.55,-2.73,12.55,192,1896
994,-9.38,14.70,0.38,0.00,7.81,0.00,10.88,25.00,32.55,-2.73,14.90,192,1938
1197,-5.47,15.39,0.39,0.00,8.37,0.00,11.90,26.41,32.55,-1.80,16.08,192,1986
1400,-4.69,15.50,0.41,0.00,9.64,0.00,12.48,28.08,32.55,-1.49,16.86,192,2054
1603,-2.34,15.39,0.42,0.00,10.39,0.00,12.77,29.47,32.55,-0.89,17.25,192,2118
1806,-1.56,15.04,0.43,0.00,10.73,0.00,13.06,31.58,32.55,-0.58,18.04,192,2187
1994,-1.56,14.81,0.45,0.00,11.50,0.00,13.35,33.44,32.55,0.04,18.43,192,2246
2197,-0.78,14.93,0.45,0.00,11.48,0.00,13.64,34.54,32.55,0.04,18.82,192,2339
2400,0.78,15.04,0.47,0.00,12.74,0.00,13.78,37.46,32.55,0.66,19.22,192,2389
2603,0.78,14.81,0.49,0.00,13.76,0.00,13.93,39.98,32.55,0.66,19.22,192,2481
2790,0.78,14.70,0.51,0.00,14.77,0.00,14.22,43.41,32.55,0.97,19.61,192,2565
2994,0.00,14.47,0.51,0.00,15.75,0.00,14.36,46.44,32.55,1.57,19.61,192,2636
3197,0.00,14.59,0.54,0.00,16.23,0.00,14.65,47.95,32.55,1.88,20.00,192,2717
3400,-1.56,14.36,0.53,0.00,16.20,0.00,14.95,49.16,44.31,2.80,20.39,192,2812
3603,-1.56,14.47,0.56,0.00,17.83,0.00,15.24,53.50,43.53,2.49,20.78,192,2882
3806,0.00,14.47,0.58,0.00,19.81,0.00,15.67,56.77,41.96,3.11,21.57,192,2995
3998,0.00,12.63,0.61,0.00,21.80,0.00,16.40,62.18,36.86,4.64,23.92,192,3096
