Time (msec),Engine Load* (g/rev),Engine Speed (rpm),Mass Airflow (g/s),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value)
0,0.70,1178,13.60,0.00,0.00,8
109,0.68,1224,13.87,0.00,0.00,8
234,0.66,1361,14.79,0.00,0.00,8
343,0.65,1430,15.10,0.00,0.00,8
453,0.62,1581,15.61,0.00,0.00,8
562,0.61,1578,15.75,0.00,0.00,8
687,0.59,1689,16.05,0.00,0.00,8
796,0.58,1777,16.74,0.00,0.00,8
906,0.57,1769,17.03,0.00,0.00,8
1015,0.55,1896,17.18,0.00,0.00,8
1137,0.54,1950,17.45,0.00,0.00,8
1247,0.53,2018,17.53,0.00,0.00,8
1356,0.47,2070,15.83,0.00,0.00,8
1465,0.33,2045,7.77,0.00,0.00,8
1590,0.24,2078,6.73,0.00,0.00,8
1700,0.22,2056,6.77,0.00,0.00,8
1809,0.21,1991,6.99,0.00,0.00,8
1918,0.22,2073,7.67,0.00,0.00,8
2028,0.23,1976,7.92,0.00,0.00,8
2153,0.25,1930,8.26,0.00,0.00,8
2262,0.28,1956,9.46,0.00,0.00,8
2372,0.30,1960,10.22,0.00,0.00,8
2495,0.33,1933,11.94,0.00,0.00,8
2598,0.37,1929,12.31,0.00,0.00,8
2723,0.40,1926,13.29,0.00,0.00,8
2832,0.43,1989,15.26,0.00,0.00,8
2941,0.46,1999,15.87,0.00,0.00,8
3051,0.47,2012,16.00,0.00,0.00,8
3160,0.47,2060,15.93,0.00,0.00,8
3285,0.46,2081,16.00,0.00,0.00,8
3395,0.46,2153,16.13,0.00,0.00,8
3504,0.45,2162,16.20,0.00,0.00,8
3613,0.45,2218,16.34,0.00,0.00,8
3738,0.44,2268,16.28,0.00,0.00,8
3848,0.43,2290,16.22,0.00,0.00,8
3962,0.43,2352,16.63,0.00,0.00,8
4071,0.34,2373,6.99,0.00,0.00,8
4180,0.22,2354,6.59,0.00,0.00,8
4290,0.20,2244,7.14,0.00,0.00,8
4415,0.21,2134,7.66,0.00,0.00,8
4524,0.21,2005,7.30,0.00,0.00,8
4633,0.23,1904,7.30,0.00,0.00,8
4743,0.24,1684,7.06,0.00,0.00,8
4852,0.25,1506,6.70,0.00,0.00,8
4977,0.27,1368,6.52,0.00,0.00,8
5087,0.28,1185,6.19,0.00,0.00,8
5196,0.27,1220,5.14,0.00,0.00,8
5305,0.25,1245,4.85,0.00,0.00,8
5415,0.26,1263,5.17,0.00,0.00,8
5540,0.28,1255,6.62,0.00,0.00,8
5649,0.31,1255,7.42,0.00,0.00,8
5758,0.33,1326,7.64,0.00,0.00,8
5868,0.33,1417,7.80,0.00,0.00,8
5997,0.34,1520,8.69,0.00,0.00,8
6091,0.35,1604,9.64,0.00,0.00,8
6214,0.37,1572,10.17,0.00,0.00,8
6323,0.40,1495,10.79,0.00,0.00,8
6433,0.44,1398,11.47,0.00,0.00,8
6558,0.48,1442,12.37,0.00,0.00,8
6667,0.52,1424,13.33,0.00,0.00,8
6776,0.56,1476,14.85,0.00,0.00,8
6886,0.59,1497,15.73,0.00,0.00,8
7000,0.62,1519,16.09,0.00,0.00,8
7109,0.62,1539,15.99,0.00,0.00,8
7234,0.65,1568,17.78,0.00,0.00,8
7344,0.66,1607,18.06,0.00,0.00,8
7453,0.66,1652,18.15,0.00,0.00,8
7563,0.66,1661,18.17,0.00,0.00,8
7672,0.66,1718,18.55,0.00,0.00,8
7797,0.65,1743,19.24,0.00,0.00,8
7906,0.65,1756,18.87,0.00,0.00,8
8016,0.65,1787,19.87,0.00,0.00,8
8125,0.64,1846,19.49,0.00,0.00,8
8250,0.64,1802,19.80,0.00,0.00,8
8359,0.63,1894,19.88,0.00,0.00,8
8469,0.63,1937,19.95,0.00,0.00,8
8578,0.63,1966,20.45,0.00,0.00,8
8687,0.62,1988,20.45,0.00,0.00,8
8812,0.61,2007,20.38,0.00,0.00,8
8927,0.60,2064,20.64,0.00,0.00,8
9036,0.60,2070,20.63,0.00,0.00,8
9145,0.60,2112,20.89,0.00,0.00,8
9255,0.59,2124,20.73,0.00,0.00,8
9364,0.59,2162,21.16,0.00,0.00,8
9486,0.59,2139,21.16,0.00,0.00,8
9596,0.58,2202,21.16,0.00,0.00,8
9710,0.56,2249,20.48,0.00,0.00,8
9819,0.55,2251,20.17,0.00,0.00,8
9928,0.52,2274,19.47,0.00,0.00,8
10053,0.51,2310,18.73,0.00,0.00,8
10163,0.49,2345,17.54,0.00,0.00,8
10270,0.46,2361,17.75,0.00,0.00,8
10379,0.40,2364,15.09,0.00,0.00,8
10505,0.31,2357,10.24,0.00,0.00,8
10611,0.24,2357,7.42,0.00,0.00,8
10721,0.21,2321,7.82,0.00,0.00,8
10830,0.22,2386,8.78,0.00,0.00,8
10955,0.23,2318,9.70,0.00,0.00,8
11064,0.24,2290,9.22,0.00,0.00,8
11174,0.23,2325,9.05,0.00,0.00,8
11282,0.22,2266,7.82,0.00,0.00,8
11406,0.21,2255,7.95,0.00,0.00,8
11516,0.21,2230,7.86,0.00,0.00,8
11625,0.20,2249,7.58,0.00,0.00,8
11735,0.20,2209,7.50,0.00,0.00,8
11844,0.20,2228,7.26,0.00,0.00,8
11959,0.20,2158,7.42,0.00,0.00,8
12083,0.20,2148,7.14,0.00,0.00,8
12193,0.20,2132,7.03,0.00,0.00,8
12298,0.20,2114,6.99,0.00,0.00,8
12423,0.20,2101,6.99,0.00,0.00,8
12533,0.20,2086,6.77,0.00,0.00,8
12642,0.18,2041,5.88,0.00,0.00,8
12752,0.18,2035,6.15,0.00,0.00,8
12862,0.19,1988,6.55,0.00,0.00,8
12986,0.18,1788,5.81,0.00,0.00,8
13099,0.20,1718,6.08,0.00,0.00,8
13209,0.22,1507,5.75,0.00,0.00,8
