Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Mass Airflow (g/s)
0,14.66,0.23,3194,0.00,0.00,8,12.10
140,14.08,0.24,3206,0.00,0.00,8,13.07
265,13.84,0.23,3197,0.00,0.00,8,12.25
390,13.66,0.25,3186,0.00,0.00,8,13.45
531,14.52,0.25,3226,0.00,0.00,8,13.29
656,14.45,0.25,3206,0.00,0.00,8,13.18
781,14.41,0.25,3212,0.00,0.00,8,13.17
922,14.86,0.26,3230,0.00,0.00,8,14.24
1047,14.84,0.28,3231,0.00,0.00,8,15.49
1172,14.52,0.32,3274,0.00,0.00,8,17.90
1297,14.07,0.36,3266,0.00,0.00,8,19.56
1442,14.08,0.41,3299,0.00,0.00,8,22.80
1567,14.31,0.49,3295,0.00,0.00,8,28.39
1692,14.66,0.61,3344,0.00,0.00,8,35.93
1833,14.17,0.69,3384,0.00,0.00,8,39.90
1958,14.01,0.76,3412,0.00,0.00,8,44.35
2083,13.61,0.81,3498,0.00,0.00,8,47.58
2223,13.15,0.86,3516,0.00,0.00,8,51.64
2348,12.28,0.91,3580,0.00,0.00,8,55.37
2473,12.03,0.98,3658,0.00,0.00,8,61.53
2614,12.39,1.07,3722,0.00,0.00,8,67.50
2739,11.87,1.18,3797,0.00,0.00,8,76.32
2880,11.33,1.34,3916,0.00,0.00,8,88.88
3005,11.32,1.55,4015,0.00,0.00,8,106.31
3130,11.32,1.82,4116,0.00,0.00,8,128.70
3270,11.32,2.05,4280,0.00,0.00,8,148.29
3400,11.32,2.14,4383,0.00,0.00,8,158.15
3525,11.32,2.15,4548,0.00,0.00,8,163.95
3666,11.32,2.14,4705,0.00,0.00,8,168.68
3791,11.32,2.12,4822,0.00,0.00,8,172.46
3916,11.32,2.10,4967,0.00,0.00,8,173.49
4056,11.32,2.11,5126,0.00,0.00,8,179.68
4181,11.32,2.08,5304,0.00,0.00,8,182.51
4306,11.32,2.04,5407,0.00,0.00,8,186.19
4447,11.32,1.52,5535,0.00,0.00,8,176.93
4572,11.36,0.60,5466,0.00,0.00,8,55.37
4712,17.23,0.53,5084,0.00,0.00,8,43.75
4838,21.39,0.45,4838,0.00,0.00,8,37.68
4963,24.01,0.42,4534,0.00,0.00,8,31.77
5103,22.84,0.50,4388,0.00,0.00,8,35.97
5228,13.63,0.67,4388,0.00,0.00,8,47.58
5358,14.50,0.95,4300,0.00,0.00,8,68.24
5483,11.99,1.16,3815,0.00,0.00,8,75.94
5624,11.60,1.48,3858,0.00,0.00,8,100.50
5749,11.32,1.83,4015,0.00,0.00,8,122.57
5874,11.32,2.12,4139,0.00,0.00,8,145.60
6014,11.32,2.23,4216,0.00,0.00,8,153.99
6139,11.32,2.23,4256,0.00,0.00,8,154.31
6280,11.32,2.22,4261,0.00,0.00,8,157.19
6405,11.32,2.21,4345,0.00,0.00,8,160.40
6530,11.32,2.23,4406,0.00,0.00,8,163.93
6670,11.32,2.24,4491,0.00,0.00,8,166.62
6795,11.32,2.24,4587,0.00,0.00,8,171.08
6920,11.32,2.21,4696,0.00,0.00,8,171.77
7061,11.33,1.94,4771,0.00,0.00,8,160.73
7186,11.46,0.58,4667,0.00,0.00,8,43.07
7311,15.24,0.58,4630,0.00,0.00,8,49.68
7441,20.18,0.52,4280,0.00,0.00,8,37.42
7582,23.47,0.43,4000,0.00,0.00,8,27.55
7707,23.67,0.35,3757,0.00,0.00,8,20.78
7847,23.58,0.35,3501,0.00,0.00,8,20.61
7972,23.71,0.35,3274,0.00,0.00,8,19.36
8097,23.86,0.33,3050,0.00,0.00,8,16.90
8238,24.18,0.30,2826,0.00,0.00,8,14.08
8363,23.80,0.32,2698,0.00,0.00,8,14.99
8488,23.77,0.30,2527,0.00,0.00,8,11.16
8628,23.36,0.31,2320,0.00,0.00,8,12.48
8753,23.04,0.32,2136,0.00,0.00,8,11.94
8894,23.88,0.31,1980,0.00,0.00,8,10.29
9019,23.51,0.30,1800,0.00,0.00,8,8.44
9144,23.82,0.31,1630,0.00,0.00,8,8.74
9269,23.47,0.29,1464,0.00,0.00,8,6.51
9414,23.54,0.31,1297,0.00,0.00,8,6.62
9539,24.08,0.31,1200,0.00,0.00,8,7.22
9664,23.59,0.22,1414,0.00,0.00,8,3.81
9805,21.03,0.19,1361,0.00,0.00,8,3.44
