Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.32,0.17,1582,0.00,0.00,16,9.88,12.00,9.09,-1.39,0.64
175,14.37,0.17,1580,0.00,0.00,16,9.88,12.50,9.04,-1.39,0.64
347,14.05,0.17,1574,0.00,0.00,16,9.88,13.00,8.91,-1.39,0.64
522,14.08,0.17,1574,0.00,0.00,16,9.53,13.00,9.09,-1.39,0.64
694,14.23,0.17,1592,0.00,0.00,16,9.88,10.50,8.91,-1.39,0.64
866,14.35,0.17,1574,0.00,0.00,16,9.88,13.00,8.95,-1.39,0.64
1038,14.22,0.17,1578,0.00,0.00,16,9.88,12.50,8.82,-1.39,0.64
1214,14.23,0.17,1570,0.00,0.00,16,9.88,13.00,9.09,-1.39,0.64
1386,14.42,0.17,1581,0.00,0.00,16,9.88,12.00,9.09,-1.39,0.64
1558,14.35,0.17,1580,0.00,0.00,16,9.88,11.50,8.91,-1.39,0.64
1730,14.11,0.17,1569,0.00,0.00,16,9.88,13.00,8.91,-1.39,0.64
1917,14.16,0.17,1584,0.00,0.00,16,9.88,12.00,8.87,-1.39,0.64
2078,14.26,0.17,1582,0.00,0.00,16,9.88,11.50,8.91,-1.39,0.64
2266,14.19,0.17,1576,0.00,0.00,16,9.88,12.50,9.09,-1.39,0.64
2437,14.14,0.17,1579,0.00,0.00,16,9.88,12.00,9.04,-1.39,0.64
2609,14.28,0.17,1567,0.00,0.00,16,9.88,13.50,9.00,-1.39,0.64
2781,14.26,0.17,1579,0.00,0.00,16,9.88,12.00,9.04,-1.39,0.64
2953,14.21,0.17,1584,0.00,0.00,16,9.53,11.00,8.82,-1.39,0.64
3125,14.21,0.17,1568,0.00,0.00,16,9.88,13.50,9.09,-1.39,0.62
3297,14.23,0.17,1588,0.00,0.00,16,9.88,11.00,8.91,-1.39,0.64
3469,14.15,0.17,1584,0.00,0.00,16,9.88,11.00,9.09,-1.39,0.64
3656,14.12,0.17,1571,0.00,0.00,16,9.53,12.50,8.91,-1.39,0.64
3828,14.18,0.17,1581,0.00,0.00,16,9.88,12.00,8.87,-1.39,0.64
4000,14.15,0.17,1578,0.00,0.00,16,9.88,11.50,8.95,-1.39,0.64
4172,14.13,0.17,1570,0.00,0.00,16,9.88,12.00,8.78,-1.39,0.64
4347,14.09,0.17,1555,0.00,0.00,16,9.88,13.50,8.82,-1.39,0.64
4519,14.44,0.17,1552,0.00,0.00,16,9.88,13.50,8.74,-1.39,0.64
4691,14.49,0.17,1562,0.00,0.00,16,9.88,12.50,8.91,-1.39,0.64
4863,14.53,0.17,1567,0.00,0.00,16,9.88,11.50,8.74,-1.39,0.64
5035,14.44,0.17,1571,0.00,0.00,16,9.88,11.00,8.74,-1.39,0.64
5206,14.37,0.17,1558,0.00,0.00,16,9.88,13.00,8.74,-1.39,0.62
5378,14.32,0.17,1566,0.00,0.00,16,9.88,13.00,8.82,-1.39,0.62
5550,14.39,0.17,1565,0.00,0.00,16,9.88,11.50,8.69,-1.39,0.64
5738,14.44,0.17,1558,0.00,0.00,16,9.88,12.50,8.73,-1.39,0.64
5909,14.39,0.17,1554,0.00,0.00,16,9.88,13.00,8.69,-1.39,0.64
6081,14.28,0.17,1564,0.00,0.00,16,9.88,11.50,8.87,-1.39,0.64
6253,14.30,0.17,1556,0.00,0.00,16,9.88,12.50,8.82,-1.39,0.64
6429,14.23,0.16,1576,0.00,0.00,16,9.88,10.50,8.91,-1.39,0.64
6600,14.17,0.17,1573,0.00,0.00,16,9.88,11.50,8.69,-1.39,0.64
6772,14.15,0.17,1558,0.00,0.00,16,9.88,13.00,8.82,-1.39,0.64
6944,14.09,0.17,1568,0.00,0.00,16,9.88,11.50,8.60,-1.39,0.64
7116,14.20,0.17,1566,0.00,0.00,16,9.88,11.50,8.87,-1.39,0.64
7288,14.13,0.16,1553,0.00,0.00,16,9.88,11.50,8.60,-1.39,0.64
7460,14.09,0.17,1554,0.00,0.00,16,9.88,13.00,8.60,-1.39,0.64
7647,14.30,0.17,1544,0.00,0.00,16,9.88,14.00,8.74,-1.39,0.64
7819,14.48,0.17,1556,0.00,0.00,16,9.88,12.00,8.69,-1.39,0.64
7991,14.37,0.17,1560,0.00,0.00,16,9.88,11.50,8.74,-1.39,0.64
8163,14.25,0.17,1560,0.00,0.00,16,9.88,11.50,8.69,-1.39,0.64
8335,14.26,0.17,1564,0.00,0.00,16,9.88,11.00,8.56,-1.39,0.64
8507,14.41,0.17,1552,0.00,0.00,16,9.88,13.00,8.82,-1.39,0.64
8679,14.37,0.17,1554,0.00,0.00,16,9.88,12.50,8.74,-1.39,0.64
8850,14.25,0.16,1562,0.00,0.00,16,9.88,11.50,8.60,-1.39,0.64
9038,14.21,0.17,1558,0.00,0.00,16,9.88,12.00,8.56,-1.39,0.64
9210,14.36,0.16,1556,0.00,0.00,16,9.88,11.50,8.65,-1.39,0.64
9382,14.47,0.17,1535,0.00,0.00,16,9.88,14.00,8.65,-1.39,0.64
9553,14.33,0.17,1551,0.00,0.00,16,9.88,12.50,8.74,-1.39,0.62
9730,14.27,0.17,1558,0.00,0.00,16,9.88,11.50,8.73,-1.39,0.62
9902,14.25,0.17,1554,0.00,0.00,16,9.88,11.00,8.91,-1.39,0.64
10074,14.17,0.17,1557,0.00,0.00,16,9.88,11.50,8.74,-1.39,0.64
10246,14.02,0.17,1570,0.00,0.00,16,9.88,11.50,8.74,-1.39,0.64
10417,14.18,0.17,1560,0.00,0.00,16,9.88,11.50,8.47,-1.39,0.64
10589,14.23,0.16,1564,0.00,0.00,16,9.88,11.00,8.78,-1.39,0.64
10761,14.17,0.17,1546,0.00,0.00,16,9.88,13.00,8.65,-1.39,0.64
10949,14.07,0.17,1542,0.00,0.00,16,9.88,13.00,8.60,-1.39,0.64
11121,14.25,0.17,1529,0.00,0.00,16,9.88,14.50,8.52,-1.39,0.64
11292,14.46,0.17,1540,0.00,0.00,16,9.88,13.00,8.69,-1.39,0.64
11464,14.60,0.17,1546,0.00,0.00,16,9.88,11.50,8.69,-1.39,0.64
11636,14.40,0.16,1554,0.00,0.00,16,9.88,11.00,8.47,-1.39,0.64
11808,14.39,0.17,1536,0.00,0.00,16,9.88,13.00,8.60,-1.39,0.64
11980,14.56,0.17,1525,0.00,0.00,16,9.88,14.00,8.56,-1.39,0.64
12152,14.52,0.17,1533,0.00,0.00,16,9.88,13.00,8.52,-1.39,0.64
12324,14.40,0.17,1539,0.00,0.00,16,9.88,14.00,8.78,-1.39,0.64
12511,14.30,0.17,1544,0.00,0.00,16,9.88,11.50,8.65,-1.39,0.62
12683,14.28,0.17,1554,0.00,0.00,16,9.88,10.50,8.60,-1.39,0.64
12858,14.28,0.17,1533,0.00,0.00,16,9.88,11.50,8.74,-1.39,0.64
13030,14.18,0.17,1526,0.00,0.00,16,10.23,11.50,8.56,-1.39,0.64
13202,14.16,0.17,1524,0.00,0.00,16,10.23,14.00,8.56,-1.39,0.62
13374,14.06,0.17,1534,0.00,0.00,16,9.88,12.00,8.65,-1.39,0.62
13546,14.32,0.17,1524,0.00,0.00,16,10.23,13.50,8.74,-1.39,0.64
13718,14.32,0.17,1532,0.00,0.00,16,9.88,12.00,8.65,-1.39,0.64
13890,14.28,0.17,1528,0.00,0.00,16,10.23,13.00,8.56,-1.39,0.64
14061,14.32,0.17,1520,0.00,0.00,16,10.23,13.00,8.56,-1.39,0.64
14233,14.41,0.17,1520,0.00,0.00,16,10.23,13.00,8.69,-1.39,0.64
14405,14.49,0.17,1520,0.00,0.00,16,10.23,13.00,8.69,-1.39,0.64
14592,14.42,0.17,1514,0.00,0.00,16,10.23,13.50,8.74,-1.39,0.64
14764,14.31,0.17,1521,0.00,0.00,16,10.23,12.50,8.74,-1.39,0.62
14936,14.32,0.17,1520,0.00,0.00,16,9.88,13.00,8.91,-1.39,0.62
15108,14.23,0.17,1512,0.00,0.00,16,10.23,14.00,8.74,-1.39,0.64
15280,14.23,0.17,1533,0.00,0.00,16,10.23,11.50,8.56,-1.39,0.64
15452,14.25,0.17,1527,0.00,0.00,16,10.23,12.00,8.56,-1.39,0.64
15624,14.32,0.17,1529,0.00,0.00,16,10.23,11.50,8.69,-1.39,0.64
15799,14.51,0.17,1516,0.00,0.00,16,10.23,12.00,8.56,-1.39,0.64
15971,14.53,0.17,1517,0.00,0.00,16,10.23,13.00,8.60,-1.39,0.64
16143,14.58,0.17,1524,0.00,0.00,16,10.23,11.50,8.69,-1.39,0.64
16330,14.69,0.17,1520,0.00,0.00,16,9.88,12.50,8.65,-1.39,0.64
16502,14.30,0.17,1525,0.00,0.00,16,10.23,12.00,8.65,-1.39,0.64
16674,14.16,0.17,1520,0.00,0.00,16,9.88,13.00,8.78,-1.39,0.64
16850,14.13,0.17,1522,0.00,0.00,16,10.23,13.00,8.78,-1.39,0.64
17022,14.18,0.17,1542,0.00,0.00,16,9.88,10.50,8.78,-1.39,0.64
17194,14.17,0.17,1519,0.00,0.00,16,10.23,11.50,8.65,-1.39,0.64
