Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Coolant Temperature (F),Primary Wastegate Duty Cycle (%)
0,13.97,0.23,2189,0.00,0.00,16,41.17,40.00,16.14,-2.32,0.88,187,0.00
203,13.93,0.22,2199,0.00,0.00,16,41.17,41.00,16.51,-2.32,0.88,187,0.00
390,13.84,0.23,2192,0.00,0.00,16,41.17,41.50,16.81,-2.32,0.88,187,0.00
578,13.66,0.23,2187,0.00,0.00,16,41.52,41.00,16.82,-2.32,0.88,187,0.00
765,13.91,0.22,2200,0.00,0.00,16,41.17,41.00,16.74,-2.32,0.88,187,0.00
953,13.80,0.23,2203,0.00,0.00,16,41.52,41.50,17.03,-2.32,0.88,187,0.00
1156,13.85,0.23,2202,0.00,0.00,16,41.17,41.50,16.74,-2.32,0.88,187,0.00
1344,13.62,0.23,2216,0.00,0.00,16,41.52,41.50,16.07,-2.32,0.88,187,0.00
1531,13.86,0.24,2223,0.00,0.00,16,41.52,41.50,17.41,-2.32,0.90,187,0.00
1719,13.85,0.26,2218,0.00,0.00,16,42.23,42.50,18.41,-2.32,0.92,187,0.00
1922,13.76,0.29,2236,0.00,0.00,16,42.93,42.50,21.19,-2.32,0.96,187,0.00
2109,13.84,0.33,2246,0.00,0.00,16,42.23,42.50,23.54,-1.39,1.02,187,0.00
2297,13.61,0.35,2249,0.00,0.00,16,42.23,42.00,25.89,-0.46,1.04,187,0.00
2484,13.76,0.37,2275,0.00,0.00,16,40.82,41.50,27.47,0.15,1.06,187,0.00
2672,13.80,0.39,2282,0.00,0.00,16,38.71,39.50,29.05,1.08,1.08,187,0.00
2875,13.64,0.40,2308,0.00,0.00,16,38.01,38.50,30.60,1.08,1.10,185,0.00
3067,13.74,0.41,2318,0.00,0.00,16,37.30,37.00,31.95,1.39,1.10,185,0.00
3255,13.51,0.42,2333,0.00,0.00,16,37.66,37.50,32.18,1.39,1.10,185,0.00
3442,13.51,0.41,2361,0.00,0.00,16,38.01,37.00,32.51,1.39,1.10,185,0.00
3630,13.72,0.41,2384,0.00,0.00,16,37.66,37.50,32.40,0.77,1.10,185,0.00
3833,13.78,0.42,2394,0.00,0.00,16,37.66,37.00,33.47,0.77,1.10,185,0.00
4020,13.68,0.42,2408,0.00,0.00,16,38.01,38.00,33.47,0.77,1.08,185,0.00
4208,13.65,0.40,2418,0.00,0.00,16,38.71,38.50,33.10,0.15,1.06,185,0.00
4395,13.89,0.39,2449,0.00,0.00,16,39.06,39.50,31.17,-0.46,1.04,185,0.00
4583,13.76,0.39,2454,0.00,0.00,16,40.12,40.00,32.18,-0.46,1.04,185,0.00
4785,13.95,0.37,2491,0.00,0.00,16,41.17,40.00,31.38,-1.08,1.04,185,0.00
4973,13.61,0.36,2502,0.00,0.00,16,42.58,41.00,31.06,-1.70,1.02,185,0.00
5161,13.84,0.36,2522,0.00,0.00,16,42.58,42.00,30.49,-1.70,1.02,185,0.00
5353,13.64,0.33,2518,0.00,0.00,16,43.63,43.50,28.42,-2.32,0.98,185,0.00
5544,13.68,0.31,2544,0.00,0.00,16,43.98,44.00,26.62,-2.94,0.98,185,0.00
5731,13.95,0.32,2538,0.00,0.00,16,43.98,43.50,27.04,-2.94,0.96,185,0.00
5919,13.55,0.31,2546,0.00,0.00,16,44.34,44.00,26.52,-3.56,0.96,185,0.00
6122,13.56,0.30,2568,0.00,0.00,16,44.34,44.00,25.79,-3.56,0.94,185,0.00
6309,13.22,0.20,2565,0.00,0.00,16,35.55,45.00,17.82,-3.56,0.64,185,0.00
6497,11.73,0.13,2537,0.00,0.00,16,7.42,15.50,10.54,-3.25,0.64,185,0.00
6684,14.27,0.16,2279,0.00,0.00,16,3.20,3.00,12.20,-2.63,0.64,185,0.00
6887,17.70,0.17,1969,0.00,0.00,16,4.96,2.50,10.49,-1.39,0.74,185,0.00
7075,24.05,0.51,2106,0.00,0.00,16,29.22,31.50,45.09,12.53,1.82,185,0.00
7262,11.88,0.17,3231,0.00,0.00,16,28.87,35.00,10.43,-2.63,0.64,185,0.00
7450,13.94,0.10,2963,0.00,0.00,16,5.31,7.00,10.08,-4.18,0.64,185,0.00
7637,24.08,0.13,2622,0.00,0.00,16,3.91,4.00,11.93,-4.18,0.66,185,0.00
7840,23.61,0.19,2434,0.00,0.00,16,15.16,11.50,14.66,-2.94,0.80,185,0.00
8028,13.21,0.19,2587,0.00,0.00,16,43.63,43.50,17.26,-3.25,0.86,185,0.00
8215,13.99,0.18,3436,0.00,0.00,16,43.28,42.50,19.57,-4.18,0.88,185,0.00
8403,13.16,0.19,3374,0.00,0.00,16,43.98,43.50,21.01,-4.18,0.90,185,0.00
8606,13.25,0.23,3363,0.00,0.00,16,44.34,44.00,23.34,-4.18,0.96,185,0.00
8793,13.17,0.25,3346,0.00,0.00,16,44.34,44.00,27.36,-3.25,1.00,185,1.57
8981,13.37,0.25,3357,0.00,0.00,16,44.34,44.00,27.47,-3.25,0.98,185,1.57
9168,13.31,0.25,3374,0.00,0.00,16,44.34,44.00,27.89,-3.87,0.98,185,0.78
9371,13.18,0.25,3388,0.00,0.00,16,44.34,44.00,27.68,-3.25,1.00,185,1.57
9559,13.64,0.26,3394,0.00,0.00,16,44.34,44.00,28.31,-3.25,1.00,185,1.57
9746,13.46,0.25,3409,0.00,0.00,16,44.34,44.00,29.93,-3.25,1.00,185,1.57
