Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Coolant Temperature (F)
0,14.90,0.13,983,0.00,0.00,16,14.10,15.00,4.33,-1.08,0.64,163
187,14.87,0.13,992,0.00,0.00,16,14.10,14.50,4.33,-1.08,0.64,163
359,14.79,0.13,1020,0.00,0.00,16,14.10,11.50,4.28,-1.08,0.64,163
547,14.77,0.13,1012,0.00,0.00,16,14.10,13.00,4.33,-1.08,0.64,163
734,14.60,0.13,985,0.00,0.00,16,14.10,14.50,4.33,-1.08,0.64,163
906,14.76,0.13,988,0.00,0.00,16,14.10,15.50,4.36,-1.08,0.64,163
1094,14.81,0.13,1016,0.00,0.00,16,14.10,12.00,4.36,-1.08,0.64,163
1281,14.74,0.13,1005,0.00,0.00,16,14.10,12.00,4.31,-1.08,0.64,163
1453,14.42,0.13,1000,0.00,0.00,16,14.10,14.00,4.33,-1.08,0.64,163
1645,14.53,0.13,1003,0.00,0.00,16,14.10,14.00,4.31,-1.08,0.64,163
1817,14.51,0.13,1004,0.00,0.00,16,14.10,14.00,4.36,-1.08,0.64,163
2005,14.76,0.13,1009,0.00,0.00,16,14.10,13.00,4.36,-1.08,0.64,163
4869,14.51,0.13,1012,0.00,0.00,16,14.10,13.50,4.31,-1.08,0.64,163
5041,14.35,0.13,1013,0.00,0.00,16,14.10,14.00,4.31,-1.08,0.64,163
5228,14.49,0.13,1018,0.00,0.00,16,14.10,13.00,4.31,-1.08,0.64,163
5416,14.67,0.13,1004,0.00,0.00,16,14.10,14.00,4.31,-1.08,0.64,163
5588,14.66,0.13,1001,0.00,0.00,16,14.10,14.50,4.28,-1.08,0.64,163
5775,14.75,0.13,1003,0.00,0.00,16,14.10,15.00,4.31,-1.08,0.64,163
5947,14.82,0.13,1004,0.00,0.00,16,14.10,14.00,4.33,-1.08,0.64,163
6135,14.84,0.13,1004,0.00,0.00,16,14.10,14.00,4.31,-1.08,0.64,163
6322,14.67,0.13,1005,0.00,0.00,16,14.10,13.50,4.33,-1.08,0.64,163
6510,14.68,0.13,1010,0.00,0.00,16,14.10,13.00,4.31,-1.08,0.64,163
6682,14.51,0.13,1002,0.00,0.00,16,14.10,13.00,4.36,-1.08,0.64,163
6869,14.65,0.13,997,0.00,0.00,16,14.10,14.50,4.31,-1.08,0.64,163
7056,14.36,0.13,1000,0.00,0.00,16,14.10,14.00,4.34,-1.08,0.64,163
7244,14.65,0.13,1008,0.00,0.00,16,14.10,13.00,4.36,-1.08,0.64,163
7416,14.51,0.13,1002,0.00,0.00,16,14.10,14.00,4.31,-1.08,0.64,163
