Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.70,0.11,804,0.00,0.00,16,14.10,14.00,4.50,3.03,-1.08,0.64
171,14.70,0.11,798,0.00,0.00,16,14.10,14.00,4.50,3.03,-1.08,0.64
345,14.70,0.11,804,0.00,0.00,16,14.10,14.00,4.50,3.03,-1.08,0.64
517,14.59,0.11,804,0.00,0.00,16,14.10,14.00,4.50,3.03,-1.08,0.64
691,14.59,0.11,802,0.00,0.00,16,14.10,14.00,4.50,3.03,-1.08,0.64
863,14.70,0.11,813,0.00,0.00,16,14.10,13.00,4.64,3.03,-1.08,0.64
1033,14.59,0.11,813,0.00,0.00,16,14.10,14.00,4.50,3.03,-1.08,0.64
1209,14.59,0.11,810,0.00,0.00,16,14.10,13.50,4.64,3.03,-1.08,0.64
1380,14.59,0.11,812,0.00,0.00,16,14.10,13.00,4.50,3.03,-1.08,0.64
1552,14.59,0.11,799,0.00,0.00,16,14.10,14.50,4.50,3.05,-1.08,0.64
1725,14.70,0.11,805,0.00,0.00,16,14.10,14.00,4.50,3.03,-1.08,0.64
1899,14.70,0.11,804,0.00,0.00,16,14.10,14.00,4.50,3.03,-1.08,0.64
2070,14.81,0.12,790,0.00,0.00,16,14.10,15.00,4.64,3.08,-1.08,0.64
2242,14.70,0.11,786,0.00,0.00,16,14.10,15.50,4.93,2.99,-1.08,0.64
2416,14.70,0.12,778,0.00,0.00,16,14.10,16.00,4.93,3.03,-1.08,0.64
2587,14.70,0.12,800,0.00,0.00,16,14.10,13.50,4.93,3.03,-1.08,0.64
2760,14.70,0.11,799,0.00,0.00,16,14.10,13.50,4.79,3.03,-1.08,0.64
2932,14.81,0.11,801,0.00,0.00,16,14.10,13.00,4.79,3.03,-1.08,0.64
3107,14.81,0.12,787,0.00,0.00,16,14.10,15.00,4.79,3.03,-1.08,0.64
3279,15.04,0.11,803,0.00,0.00,16,14.10,13.00,4.79,3.03,-1.08,0.64
3450,15.27,0.11,805,0.00,0.00,16,14.10,13.00,4.79,3.03,-1.08,0.64
3622,15.39,0.11,810,0.00,0.00,16,14.10,12.50,4.64,3.03,-1.08,0.64
3796,15.39,0.11,800,0.00,0.00,16,14.10,13.50,4.64,3.03,-1.08,0.64
3969,15.27,0.11,809,0.00,0.00,16,14.10,13.00,4.64,3.03,-1.08,0.64
4140,15.16,0.11,798,0.00,0.00,16,14.10,14.00,4.64,3.03,-1.08,0.64
4314,15.04,0.11,793,0.00,0.00,16,14.10,14.00,4.64,3.03,-1.08,0.64
4485,14.93,0.11,802,0.00,0.00,16,14.10,13.50,4.64,3.03,-1.08,0.64
4659,14.81,0.12,810,0.00,0.00,16,14.10,13.00,4.64,3.03,-1.08,0.64
4830,14.59,0.12,757,0.00,0.00,16,14.10,18.00,4.64,3.13,-1.08,0.64
5002,14.36,0.13,755,0.00,0.00,16,14.10,17.50,4.79,3.13,-1.08,0.64
5176,14.36,0.13,752,0.00,0.00,16,14.10,17.50,4.93,3.21,-1.08,0.64
5347,14.24,0.12,778,0.00,0.00,16,14.10,15.00,4.93,3.23,-1.08,0.64
5520,13.90,0.11,782,0.00,0.00,16,14.10,14.00,4.93,3.28,-1.08,0.64
5692,14.01,0.12,791,0.00,0.00,16,14.10,12.00,4.93,3.25,-1.08,0.64
5864,13.90,0.13,793,0.00,0.00,16,14.10,13.00,4.93,3.31,-1.08,0.64
6037,13.90,0.13,783,0.00,0.00,16,14.10,14.00,5.08,3.36,-1.08,0.64
6211,13.90,0.13,807,0.00,0.00,16,14.10,11.50,5.08,3.40,-1.08,0.64
6381,13.78,0.13,803,0.00,0.00,16,14.10,12.00,5.08,3.40,-1.08,0.64
6555,14.01,0.13,790,0.00,0.00,16,14.10,14.00,5.08,3.40,-1.08,0.64
6726,14.13,0.13,800,0.00,0.00,16,14.10,13.00,5.08,3.45,-1.08,0.64
6900,14.24,0.13,802,0.00,0.00,16,14.10,13.00,5.08,3.45,-1.08,0.64
7072,14.24,0.13,812,0.00,0.00,16,14.10,12.00,5.08,3.42,-1.08,0.64
7243,14.24,0.13,822,0.00,0.00,16,14.10,12.00,5.08,3.42,-1.08,0.64
7414,14.24,0.12,824,0.00,0.00,16,14.10,11.50,5.08,3.40,-1.08,0.64
7589,14.36,0.12,814,0.00,0.00,16,14.10,13.00,5.08,3.42,-1.08,0.64
7753,14.24,0.12,818,0.00,0.00,16,14.10,12.50,4.93,3.40,-1.08,0.64
7933,14.24,0.12,822,0.00,0.00,16,14.10,12.50,4.93,3.38,-1.08,0.64
8105,14.24,0.13,813,0.00,0.00,16,14.10,13.50,4.93,3.40,-1.08,0.64
8271,14.36,0.13,802,0.00,0.00,16,14.10,14.50,5.08,3.45,-1.08,0.64
8443,14.47,0.13,818,0.00,0.00,16,14.10,13.00,5.08,3.45,-1.08,0.64
8615,14.59,0.12,814,0.00,0.00,16,14.10,12.00,4.93,3.36,-1.08,0.64
8786,14.59,0.12,817,0.00,0.00,16,14.10,13.50,4.93,3.36,-1.08,0.64
8966,14.59,0.13,810,0.00,0.00,16,14.10,14.00,5.08,3.40,-1.08,0.64
9140,14.59,0.13,818,0.00,0.00,16,14.10,13.00,5.08,3.40,-1.08,0.64
9313,14.59,0.13,809,0.00,0.00,16,14.10,14.00,5.08,3.40,-1.08,0.64
9485,14.70,0.12,813,0.00,0.00,16,14.10,13.50,4.93,3.40,-1.08,0.64
9659,14.81,0.12,815,0.00,0.00,16,14.10,13.50,4.93,3.36,-1.08,0.64
9835,14.70,0.12,820,0.00,0.00,16,14.10,13.00,4.93,3.36,-1.08,0.64
10003,14.70,0.14,805,0.00,0.00,16,14.10,14.50,4.93,3.36,-1.08,0.64
10176,14.70,0.12,804,0.00,0.00,16,14.10,14.50,5.08,3.38,-1.08,0.64
10349,14.59,0.12,817,0.00,0.00,16,14.10,13.00,5.08,3.36,-1.08,0.64
10522,14.70,0.13,798,0.00,0.00,16,14.10,14.50,5.08,3.36,-1.08,0.64
10694,14.70,0.13,810,0.00,0.00,16,14.10,13.50,5.08,3.38,-1.08,0.64
10861,14.81,0.12,812,0.00,0.00,16,14.10,13.50,4.93,3.36,-1.08,0.64
11033,14.70,0.12,819,0.00,0.00,16,14.10,13.00,4.93,3.36,-1.08,0.64
11205,14.70,0.12,806,0.00,0.00,16,14.10,14.00,4.93,3.36,-1.08,0.64
11383,14.70,0.12,812,0.00,0.00,16,14.10,13.50,4.93,3.36,-1.08,0.64
11550,14.59,0.12,826,0.00,0.00,16,14.10,12.00,4.93,3.36,-1.08,0.64
11722,14.59,0.12,814,0.00,0.00,16,14.10,13.50,4.93,3.36,-1.08,0.64
11900,14.36,0.12,807,0.00,0.00,16,14.10,14.00,4.93,3.36,-1.08,0.64
12075,14.47,0.12,818,0.00,0.00,16,14.10,13.00,4.93,3.36,-1.08,0.64
12246,14.47,0.12,818,0.00,0.00,16,14.10,13.00,4.93,3.36,-1.08,0.64
12418,14.70,0.13,802,0.00,0.00,16,14.10,15.50,4.93,3.38,-1.08,0.64
12592,14.59,0.13,814,0.00,0.00,16,14.10,13.00,4.93,3.40,-1.08,0.64
12762,14.81,0.13,808,0.00,0.00,16,14.10,14.00,5.08,3.38,-1.08,0.64
12934,14.70,0.13,812,0.00,0.00,16,14.10,13.50,4.93,3.38,-1.08,0.64
13108,14.47,0.13,802,0.00,0.00,16,14.10,14.50,5.08,3.36,-1.08,0.64
13278,14.47,0.12,817,0.00,0.00,16,14.10,13.00,5.08,3.38,-1.08,0.64
13452,14.59,0.13,802,0.00,0.00,16,14.10,14.50,5.08,3.38,-1.08,0.64
13624,14.59,0.13,810,0.00,0.00,16,14.10,13.50,5.08,3.40,-1.08,0.64
13797,14.70,0.12,818,0.00,0.00,16,14.10,13.00,5.08,3.40,-1.08,0.64
13969,14.59,0.13,810,0.00,0.00,16,14.10,14.00,5.08,3.38,-1.08,0.64
14143,14.47,0.12,816,0.00,0.00,16,14.10,13.00,5.08,3.36,-1.08,0.64
14314,14.47,0.12,821,0.00,0.00,16,14.10,11.50,5.08,3.36,-1.08,0.64
14484,14.47,0.12,832,0.00,0.00,16,14.10,11.50,5.08,3.36,-1.08,0.64
14659,14.59,0.12,820,0.00,0.00,16,14.10,13.00,5.08,3.40,-1.08,0.64
14831,14.47,0.15,825,0.00,0.00,16,14.10,13.00,5.08,4.46,-1.08,0.68
15004,14.70,0.17,869,0.00,0.00,16,15.16,14.50,5.66,4.86,-1.08,0.70
15176,14.70,0.19,989,0.00,0.00,16,17.62,16.00,6.09,6.33,-1.08,0.74
15348,13.90,0.21,1089,0.00,0.00,16,21.48,19.50,6.67,8.39,-1.08,0.78
15521,13.09,0.21,1372,0.00,0.00,16,25.70,24.50,7.11,9.39,-1.39,0.80
15693,13.67,0.19,1570,0.00,0.00,16,28.87,28.00,6.96,10.08,-1.39,0.82
15866,14.70,0.20,1677,0.00,0.00,16,30.98,30.50,6.53,10.17,-1.39,0.82
16038,15.16,0.18,1771,0.00,0.00,16,32.03,32.00,6.24,10.43,-1.39,0.82
16210,15.04,0.17,1804,0.00,0.00,16,32.73,32.50,5.95,10.54,-1.39,0.82
16381,14.81,0.17,1830,0.00,0.00,16,33.09,33.00,5.95,10.49,-1.39,0.82
16555,14.59,0.13,1844,0.00,0.00,16,30.27,30.00,4.64,4.68,-1.39,0.64
16728,13.67,0.08,1806,0.00,0.00,16,19.38,22.00,3.63,4.10,-1.39,0.64
16900,12.98,0.09,1610,0.00,0.00,16,14.10,14.00,3.05,4.73,-1.39,0.64
17072,13.55,0.11,1382,0.00,0.00,16,14.10,14.00,3.19,4.97,-1.39,0.64
17247,13.09,0.11,1327,0.00,0.00,16,14.10,22.00,3.34,4.88,-1.39,0.66
17418,12.63,0.17,1205,0.00,0.00,16,15.16,15.00,3.92,6.81,-1.39,0.74
17591,12.75,0.18,1200,0.00,0.00,16,17.97,16.50,4.93,7.62,-1.08,0.78
17763,12.06,0.21,1323,0.00,0.00,16,25.35,22.50,5.95,8.82,-1.39,0.80
17935,11.94,0.20,1549,0.00,0.00,16,28.52,28.50,6.67,10.17,-1.39,0.82
18109,14.70,0.19,1613,0.00,0.00,16,30.62,29.50,6.67,10.74,-1.39,0.82
18281,16.42,0.19,1728,0.00,0.00,16,31.68,31.00,6.53,10.59,-1.39,0.82
18452,16.65,0.13,1786,0.00,0.00,16,24.65,30.50,5.08,3.99,-1.39,0.64
18624,16.19,0.09,1692,0.00,0.00,16,15.86,17.50,3.48,4.64,-1.39,0.64
18796,16.31,0.12,1391,0.00,0.00,16,14.10,22.00,3.48,5.36,-1.39,0.64
18969,16.54,0.13,1201,0.00,0.00,16,14.10,22.00,3.63,5.14,-1.39,0.64
19141,17.11,0.13,1170,0.00,0.00,16,14.10,22.00,3.77,4.97,-1.08,0.64
19314,17.46,0.13,1080,0.00,0.00,16,14.10,22.00,3.77,4.82,-1.08,0.64
19487,16.77,0.13,1053,0.00,0.00,16,14.10,22.00,3.92,4.64,-1.08,0.64
19660,15.62,0.13,1012,0.00,0.00,16,14.10,22.00,4.06,4.26,-1.08,0.64
19834,14.36,0.14,979,0.00,0.00,16,14.10,22.00,4.06,4.29,-1.08,0.66
20003,12.40,0.16,970,0.00,0.00,16,14.80,14.00,4.64,5.36,-1.08,0.72
20178,11.94,0.19,992,0.00,0.00,16,16.91,16.50,5.51,6.15,-1.08,0.74
20349,11.94,0.26,1105,0.00,0.00,16,26.76,19.50,6.24,9.75,-1.08,0.82
20523,12.52,0.25,1273,0.00,0.00,16,28.16,28.50,7.98,11.09,-1.39,0.84
