Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Battery Voltage (V),Alternator Duty (%)
0,14.59,0.11,822,0.00,0.00,16,14.10,13.50,4.50,3.03,-1.30,0.64,13.68,0.00
188,14.70,0.11,826,0.00,0.00,16,14.10,13.00,4.50,3.03,-1.30,0.64,13.60,0.00
375,14.70,0.11,830,0.00,0.00,16,14.10,13.00,4.50,3.03,-1.30,0.64,13.68,0.00
563,14.70,0.11,833,0.00,0.00,16,14.10,12.50,4.50,3.03,-1.30,0.64,13.52,0.00
766,14.70,0.11,821,0.00,0.00,16,14.10,14.00,4.50,3.03,-1.30,0.64,13.68,0.00
943,14.47,0.11,813,0.00,0.00,16,14.10,14.50,4.50,3.03,-1.30,0.64,13.60,0.00
1130,14.59,0.11,818,0.00,0.00,16,14.10,14.00,4.50,3.03,-1.30,0.64,13.68,0.00
1333,14.59,0.11,828,0.00,0.00,16,14.10,13.00,4.50,3.02,-1.30,0.64,13.60,0.00
1521,14.59,0.11,812,0.00,0.00,16,14.10,15.00,4.50,3.03,-1.30,0.64,13.68,0.00
1708,14.81,0.11,820,0.00,0.00,16,14.10,13.50,4.50,3.03,-1.30,0.64,13.76,0.00
1911,14.70,0.11,832,0.00,0.00,16,14.10,12.50,4.50,3.03,-1.30,0.64,13.68,0.00
2099,14.70,0.11,820,0.00,0.00,16,14.10,14.00,4.50,3.03,-1.30,0.64,13.68,0.00
2287,14.59,0.11,827,0.00,0.00,16,14.10,13.00,4.50,3.03,-1.30,0.64,13.76,0.00
2474,14.70,0.11,826,0.00,0.00,16,14.10,13.00,4.50,3.03,-1.30,0.64,13.60,0.00
2662,14.70,0.11,820,0.00,0.00,16,14.10,14.00,4.50,3.03,-1.30,0.64,13.68,0.00
2865,14.70,0.11,820,0.00,0.00,16,14.10,14.00,4.50,3.03,-1.30,0.64,13.52,0.00
3057,14.70,0.11,821,0.00,0.00,16,14.10,14.00,4.50,3.03,-1.30,0.64,13.76,0.00
3244,14.70,0.11,828,0.00,0.00,16,14.10,13.00,4.50,3.03,-1.30,0.64,13.52,0.00
3432,14.70,0.11,825,0.00,0.00,16,14.10,13.50,4.50,3.03,-1.30,0.64,13.68,0.00
3619,14.70,0.11,823,0.00,0.00,16,14.10,14.00,4.50,3.03,-1.30,0.64,13.52,0.00
3822,14.81,0.11,827,0.00,0.00,16,14.10,13.00,4.50,3.03,-1.30,0.64,13.68,0.00
4010,14.70,0.11,828,0.00,0.00,16,14.10,13.00,4.50,3.03,-1.30,0.64,13.52,0.00
4197,14.59,0.11,827,0.00,0.00,16,14.10,13.50,4.50,3.05,-1.30,0.64,13.68,0.00
4400,14.47,0.11,826,0.00,0.00,16,14.10,13.50,4.50,3.03,-1.30,0.64,13.68,0.00
4588,14.70,0.11,840,0.00,0.00,16,14.10,13.50,4.50,3.03,-1.30,0.64,13.60,0.00
4775,14.59,0.11,816,0.00,0.00,16,14.10,15.00,4.50,3.03,-1.30,0.64,13.68,0.00
4978,14.70,0.11,823,0.00,0.00,16,14.10,14.00,4.50,3.03,-1.30,0.64,13.68,0.00
5166,14.70,0.11,827,0.00,0.00,16,14.10,13.50,4.50,3.02,-1.30,0.64,13.68,0.00
5353,14.47,0.11,825,0.00,0.00,16,14.10,13.50,4.50,3.03,-1.30,0.64,13.76,0.00
5545,14.59,0.21,823,0.00,0.00,16,15.51,14.00,4.50,3.72,-1.30,0.98,13.68,0.00
5732,14.59,0.41,893,0.00,0.00,16,11.99,10.50,13.06,23.38,0.83,0.64,13.76,0.00
5923,13.78,0.16,1790,0.00,0.00,16,22.89,23.50,6.24,3.47,-1.60,0.64,13.60,0.00
6111,12.63,0.07,1862,0.00,0.00,16,14.10,14.00,3.92,3.16,-1.60,0.64,13.68,0.00
6314,12.98,0.08,1566,0.00,0.00,16,14.10,14.00,3.34,4.10,-1.60,0.64,13.60,0.00
6501,14.24,0.09,1360,0.00,0.00,16,14.10,20.00,3.48,4.32,-1.60,0.64,13.76,0.00
6694,15.04,0.11,1250,0.00,0.00,16,14.10,22.00,3.48,4.48,-1.60,0.64,13.60,0.00
6885,16.65,0.11,1206,0.00,0.00,16,14.10,22.00,3.48,4.29,-1.60,0.64,13.68,0.00
7077,17.34,0.11,1153,0.00,0.00,16,14.10,22.00,3.48,4.07,-1.30,0.64,13.76,0.00
