Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Battery Voltage (V),Alternator Duty (%),Throttle Opening Angle (%)
0,14.93,0.15,1335,0.00,0.00,16,23.95,23.50,5.37,6.55,-1.39,0.74,13.60,0.00,2.75
198,14.93,0.13,1338,0.00,0.00,16,23.59,23.00,5.37,5.81,-1.39,0.74,13.52,34.00,2.75
397,14.93,0.14,1371,0.00,0.00,16,24.30,23.50,5.37,6.59,-1.39,0.74,13.60,32.00,2.75
601,15.16,0.15,1336,0.00,0.00,16,23.95,23.00,5.37,6.66,-1.39,0.74,13.52,34.00,2.75
786,14.81,0.15,1324,0.00,0.00,16,23.59,22.50,5.37,6.59,-1.39,0.74,13.60,34.00,2.75
989,14.47,0.15,1324,0.00,0.00,16,23.59,23.00,5.37,6.70,-1.39,0.74,13.52,35.00,2.75
1197,14.59,0.15,1363,0.00,0.00,16,23.59,23.50,5.37,6.66,-1.39,0.74,13.60,33.00,2.75
1398,14.70,0.14,1388,0.00,0.00,16,24.30,23.50,5.37,6.62,-1.39,0.74,13.60,34.00,2.75
1585,14.47,0.14,1374,0.00,0.00,16,24.30,23.50,5.37,6.62,-1.39,0.74,13.60,34.00,2.75
1788,14.70,0.15,1376,0.00,0.00,16,24.30,23.50,5.37,6.88,-1.39,0.76,13.60,34.00,3.14
1999,14.81,0.23,1370,0.00,0.00,16,28.16,24.50,6.09,11.62,-1.39,0.86,13.60,35.00,6.67
2194,13.78,0.38,1424,0.00,0.00,16,29.22,29.00,8.42,18.50,-1.39,1.00,13.52,33.00,10.98
2398,12.06,0.43,1464,0.00,0.00,16,26.05,25.00,11.46,21.10,0.15,1.08,13.60,31.00,13.73
2596,14.70,0.42,1543,0.00,0.00,16,27.81,24.50,12.62,21.63,0.77,1.12,13.52,29.00,14.51
2793,15.16,0.34,1575,0.00,0.00,16,33.09,30.50,9.87,11.46,-1.39,0.82,13.60,27.00,5.49
2996,13.78,0.22,1614,0.00,0.00,16,30.27,28.50,7.25,8.70,-1.39,0.74,13.52,25.00,2.75
3184,14.36,0.14,1628,0.00,0.00,16,28.16,28.00,5.22,5.36,-1.39,0.70,13.60,23.00,1.18
3387,14.47,0.11,1626,0.00,0.00,16,27.11,26.00,4.21,5.49,-1.39,0.70,13.52,22.00,1.18
3590,14.59,0.13,1605,0.00,0.00,16,27.81,26.50,3.92,6.99,-1.39,0.70,13.60,20.00,1.18
3793,14.81,0.20,1656,0.00,0.00,16,30.27,29.50,4.35,10.38,-1.39,0.84,13.52,18.00,5.88
3996,12.29,0.36,1646,0.00,0.00,16,33.79,34.00,8.56,21.00,-0.77,1.06,13.60,16.00,12.55
4196,13.32,0.46,1675,0.00,0.00,16,25.70,24.50,12.19,25.89,2.32,1.18,13.44,15.00,16.08
4388,15.50,0.45,1724,0.00,0.00,16,28.52,26.00,13.20,26.09,3.25,1.20,13.52,13.00,17.25
4591,15.50,0.32,1773,0.00,0.00,16,36.60,35.50,9.72,12.82,-1.39,0.76,13.52,11.00,3.92
4794,14.01,0.15,1814,0.00,0.00,16,32.03,32.00,5.66,5.36,-1.39,0.68,13.52,9.00,1.18
4982,13.55,0.10,1819,0.00,0.00,16,24.30,26.00,4.35,5.74,-1.39,0.66,13.52,8.00,0.78
5191,14.81,0.12,1821,0.00,0.00,16,15.16,17.50,3.63,7.41,-1.39,0.64,13.60,6.00,0.00
5394,18.26,0.13,1770,0.00,0.00,16,14.10,14.00,3.34,7.57,-1.39,0.64,13.60,4.00,0.00
5593,22.74,0.13,1731,0.00,0.00,16,14.10,14.00,3.34,7.54,-1.39,0.64,13.60,2.00,0.00
5793,23.54,0.13,1676,0.00,0.00,16,14.10,14.00,3.34,7.15,-1.39,0.64,13.60,1.00,0.00
5985,23.54,0.13,1667,0.00,0.00,16,14.10,14.00,3.34,7.14,-1.39,0.64,13.60,0.00,0.00
6194,23.66,0.15,1613,0.00,0.00,16,14.80,14.00,3.63,8.56,-1.39,0.74,13.60,0.00,2.75
6392,23.77,0.29,1604,0.00,0.00,16,32.73,26.00,5.95,17.42,-1.39,0.98,13.52,0.00,9.80
6595,12.06,0.50,1695,0.00,0.00,16,21.48,27.00,11.46,28.74,3.25,1.22,13.44,0.00,17.65
6782,12.52,0.53,1687,0.00,0.00,16,19.02,5.00,13.93,30.05,4.80,1.48,13.52,0.00,25.88
6986,14.70,0.51,1825,0.00,0.00,16,23.24,18.00,14.80,31.16,9.13,1.66,13.44,0.00,31.37
7188,14.47,0.54,1899,0.00,0.00,16,21.13,21.00,15.38,34.33,12.53,1.80,13.36,0.00,35.69
7391,14.47,0.55,2007,0.00,0.00,16,21.13,21.00,15.82,36.93,13.77,1.84,13.28,0.00,37.25
7596,14.47,0.57,2102,0.00,0.00,16,20.43,19.00,16.40,40.17,13.77,1.84,13.36,0.00,37.25
7798,14.01,0.61,2214,0.00,0.00,16,19.02,18.00,16.83,44.76,13.77,1.84,13.28,0.00,36.86
7991,12.86,0.64,2317,0.00,0.00,16,17.62,16.50,17.56,50.20,13.77,1.88,13.36,0.00,38.43
8195,12.86,0.70,2445,0.00,0.00,16,15.51,15.50,18.43,56.46,13.77,1.96,13.36,0.00,40.78
8394,12.40,0.75,2566,0.00,0.00,16,14.45,13.00,19.59,64.18,13.77,1.98,13.36,0.00,41.57
8613,11.94,0.83,2692,0.00,0.00,16,11.64,11.00,20.89,73.03,13.77,1.98,13.36,0.00,41.57
8786,11.37,0.93,2830,0.00,0.00,16,7.77,7.50,22.64,85.69,13.77,1.98,13.28,0.00,41.57
8992,11.14,1.03,2958,0.00,0.00,16,5.31,4.50,24.81,100.28,13.77,1.84,13.28,0.00,37.25
9194,11.14,1.00,3095,0.00,0.00,16,6.37,5.00,25.97,104.72,11.91,1.62,13.28,0.00,30.59
9393,11.14,0.96,3278,0.00,0.00,16,8.12,6.00,25.97,105.95,11.29,1.60,13.28,0.00,29.41
