Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Fuel Pump Duty (%),Injector Duty Cycle (%),Alternator Duty (%),Battery Voltage (V)
0,14.36,0.17,1265,0.00,0.00,16,10.94,11.50,5.66,7.14,-1.49,0.64,74.90,2.69,0.00,14.00
79,14.24,0.17,1246,0.00,0.00,16,10.94,10.50,5.66,7.14,-1.49,0.64,74.90,2.70,0.00,14.00
141,14.47,0.17,1246,0.00,0.00,16,10.59,12.50,5.66,7.21,-1.49,0.64,74.90,2.66,0.00,14.00
204,14.47,0.17,1273,0.00,0.00,16,10.94,12.50,5.66,7.17,-1.49,0.64,74.90,2.72,0.00,13.92
266,14.36,0.17,1269,0.00,0.00,16,10.94,9.50,5.66,7.10,-1.49,0.64,74.90,2.71,0.00,14.00
332,14.47,0.17,1260,0.00,0.00,16,10.94,10.50,5.66,7.17,-1.49,0.64,74.90,2.69,0.00,13.92
410,14.47,0.17,1271,0.00,0.00,16,10.94,11.50,5.51,7.10,-1.49,0.64,74.90,2.71,0.00,14.00
474,14.36,0.17,1258,0.00,0.00,16,10.94,10.50,5.51,7.06,-1.49,0.64,74.90,2.68,0.00,13.92
536,14.24,0.17,1270,0.00,0.00,16,10.94,11.50,5.51,7.10,-1.49,0.64,74.90,2.71,0.00,14.00
599,14.36,0.17,1271,0.00,0.00,16,10.94,10.50,5.51,7.10,-1.49,0.64,74.90,2.71,0.00,13.84
664,14.24,0.16,1277,0.00,0.00,16,10.94,10.50,5.51,7.06,-1.49,0.64,74.90,2.72,0.00,14.00
730,14.24,0.17,1269,0.00,0.00,16,10.94,11.00,5.51,6.95,-1.49,0.64,74.90,2.71,0.00,13.92
792,14.36,0.16,1269,0.00,0.00,16,10.94,11.00,5.51,6.95,-1.49,0.64,74.90,2.71,0.00,14.00
871,14.13,0.17,1272,0.00,0.00,16,10.94,11.00,5.51,6.99,-1.49,0.64,74.90,2.71,0.00,13.92
933,14.13,0.17,1259,0.00,0.00,16,10.94,10.50,5.51,7.03,-1.49,0.64,74.90,2.69,0.00,14.00
