Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Fuel Pump Duty (%),Injector Duty Cycle (%),Alternator Duty (%),Battery Voltage (V),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level)
0,14.70,0.12,838,0.00,0.00,16,9.88,8.50,3.42,-1.18,0.64,74.90,1.43,0.00,13.68,4.93,-9.82
63,14.81,0.12,832,0.00,0.00,16,9.88,9.50,3.40,-1.18,0.64,74.90,1.42,0.00,13.60,4.93,-9.78
141,14.70,0.12,829,0.00,0.00,16,9.88,9.50,3.42,-1.18,0.64,74.90,1.43,0.00,13.68,4.93,-9.82
203,14.70,0.12,835,0.00,0.00,16,9.88,9.50,3.42,-1.18,0.64,74.90,1.42,0.00,13.60,4.93,-9.77
282,14.81,0.12,825,0.00,0.00,16,9.88,9.00,3.42,-1.18,0.64,74.90,1.42,0.00,13.68,4.93,-9.82
344,14.70,0.12,832,0.00,0.00,16,9.88,10.00,3.40,-1.18,0.64,74.90,1.41,0.00,13.60,4.93,-9.80
422,14.81,0.12,832,0.00,0.00,16,9.88,9.50,3.40,-1.18,0.64,74.90,1.42,0.00,13.68,4.93,-9.80
500,14.70,0.12,832,0.00,0.00,16,9.88,9.50,3.42,-1.18,0.64,74.90,1.42,0.00,13.60,4.93,-9.82
563,14.81,0.12,837,0.00,0.00,16,9.88,9.00,3.40,-1.18,0.64,74.90,1.43,0.00,13.76,4.93,-9.82
627,14.81,0.12,828,0.00,0.00,16,9.88,10.00,3.40,-1.18,0.64,74.90,1.41,0.00,13.52,4.93,-9.82
705,14.81,0.12,838,0.00,0.00,16,9.88,8.50,3.42,-1.18,0.64,74.90,1.43,0.00,13.68,4.93,-9.82
783,14.70,0.12,837,0.00,0.00,16,9.88,9.00,3.38,-1.18,0.64,74.90,1.43,0.00,13.68,4.93,-9.82
846,14.70,0.12,843,0.00,0.00,16,9.88,9.00,3.40,-1.18,0.64,74.90,1.44,0.00,13.68,4.93,-9.82
924,14.81,0.12,826,0.00,0.00,16,9.88,10.00,3.38,-1.18,0.64,74.90,1.41,0.00,13.68,4.93,-9.82
986,14.70,0.12,829,0.00,0.00,16,9.88,9.50,3.38,-1.18,0.64,74.90,1.41,0.00,13.68,4.93,-9.82
1064,14.70,0.12,836,0.00,0.00,16,9.88,9.00,3.40,-1.18,0.64,74.90,1.43,0.00,13.68,4.93,-9.82
1127,14.70,0.12,838,0.00,0.00,16,9.88,9.00,3.38,-1.18,0.64,74.90,1.43,0.00,13.76,4.93,-9.82
1205,14.70,0.12,834,0.00,0.00,16,9.88,9.00,3.38,-1.18,0.64,74.90,1.43,0.00,13.68,4.79,-9.84
1268,14.81,0.12,842,0.00,0.00,16,9.88,9.00,3.40,-1.18,0.64,74.90,1.44,0.00,13.68,4.93,-9.84
1346,14.81,0.11,836,0.00,0.00,16,9.88,8.50,3.40,-1.18,0.64,74.90,1.43,0.00,13.68,4.79,-9.82
1408,14.70,0.12,837,0.00,0.00,16,9.88,9.50,3.45,-1.18,0.64,74.90,1.43,0.00,13.76,4.93,-9.84
1486,14.81,0.12,838,0.00,0.00,16,9.88,9.00,3.45,-1.18,0.64,74.90,1.43,0.00,13.68,4.79,-9.82
1549,14.81,0.12,845,0.00,0.00,16,9.88,8.00,3.42,-1.18,0.64,74.90,1.44,0.00,13.68,4.79,-9.84
1627,14.81,0.12,838,0.00,0.00,16,9.88,9.50,3.40,-1.18,0.64,74.90,1.43,0.00,13.68,4.79,-9.84
1689,14.81,0.12,834,0.00,0.00,16,9.88,9.50,3.38,-1.18,0.64,74.90,1.42,0.00,13.76,4.93,-9.84
1768,14.81,0.12,837,0.00,0.00,16,9.88,9.50,3.40,-1.18,0.64,74.90,1.43,0.00,13.76,4.79,-9.84
1846,14.81,0.12,828,0.00,0.00,16,9.88,10.50,3.40,-1.18,0.64,74.90,1.41,0.00,13.68,4.93,-9.84
1908,14.81,0.12,828,0.00,0.00,16,9.88,10.50,3.42,-1.18,0.64,74.90,1.41,0.00,13.76,4.79,-9.84
1971,14.81,0.12,838,0.00,0.00,16,9.88,9.50,3.42,-1.18,0.64,74.90,1.42,0.00,13.68,4.93,-9.82
2049,14.81,0.12,832,0.00,0.00,16,9.88,9.50,3.40,-1.18,0.64,74.90,1.43,0.00,13.68,4.93,-9.84
2116,14.81,0.12,841,0.00,0.00,16,9.88,9.50,3.40,-1.18,0.64,74.90,1.42,0.00,13.68,4.79,-9.82
2194,14.81,0.12,840,0.00,0.00,16,9.88,8.50,3.38,-1.18,0.64,74.90,1.43,0.00,13.68,4.93,-9.82
2256,14.81,0.12,844,0.00,0.00,16,9.88,9.00,3.38,-1.18,0.64,74.90,1.44,0.00,13.68,4.93,-9.84
2335,14.70,0.12,843,0.00,0.00,16,9.88,8.50,3.38,-1.18,0.64,74.90,1.44,0.00,13.68,4.79,-9.84
2397,14.70,0.12,840,0.00,0.00,16,9.88,9.00,3.38,-1.18,0.64,74.90,1.43,0.00,13.60,4.93,-9.84
2475,14.70,0.12,836,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.43,0.00,13.68,4.79,-9.84
2538,14.70,0.12,835,0.00,0.00,16,9.88,9.50,3.40,-1.18,0.64,74.90,1.43,0.00,13.68,4.79,-9.86
2616,14.70,0.12,829,0.00,0.00,16,9.88,10.50,3.40,-1.18,0.64,74.90,1.41,0.00,13.60,4.79,-9.84
