Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.36,0.15,1222,0.00,0.00,16,10.59,11.50,5.08,-9.53,6.18,-1.49,0.64
192,14.47,0.15,1225,0.00,0.00,16,10.59,11.50,5.08,-9.55,6.15,-1.49,0.64
382,14.47,0.15,1228,0.00,0.00,16,10.59,10.50,5.08,-9.57,6.15,-1.49,0.64
573,14.47,0.15,1221,0.00,0.00,16,10.59,11.00,5.08,-9.55,6.18,-1.49,0.64
764,14.47,0.15,1231,0.00,0.00,16,10.59,10.00,5.08,-9.57,6.18,-1.49,0.64
954,14.36,0.15,1220,0.00,0.00,16,10.59,11.50,5.08,-9.55,6.11,-1.49,0.64
1145,14.36,0.15,1217,0.00,0.00,16,10.59,11.50,5.22,-9.53,6.07,-1.49,0.64
1336,14.36,0.15,1213,0.00,0.00,16,10.59,11.50,5.22,-9.53,6.07,-1.49,0.64
1526,14.47,0.15,1222,0.00,0.00,16,10.59,10.50,5.22,-9.53,6.04,-1.49,0.64
1717,14.36,0.15,1214,0.00,0.00,16,10.59,10.00,5.22,-9.53,6.15,-1.49,0.64
1909,14.36,0.15,1202,0.00,0.00,16,10.59,10.50,5.22,-9.49,6.11,-1.49,0.64
2100,14.47,0.15,1207,0.00,0.00,16,10.59,11.00,5.22,-9.51,6.11,-1.49,0.64
2291,14.47,0.15,1215,0.00,0.00,16,10.59,10.50,5.22,-9.53,6.11,-1.49,0.64
2481,14.47,0.15,1208,0.00,0.00,16,10.59,11.50,5.22,-9.49,6.00,-1.49,0.64
2677,14.59,0.15,1217,0.00,0.00,16,10.59,11.00,5.08,-9.53,6.11,-1.49,0.64
2867,14.47,0.15,1215,0.00,0.00,16,10.59,11.50,5.08,-9.55,6.04,-1.49,0.64
3058,14.59,0.15,1213,0.00,0.00,16,10.59,11.50,5.08,-9.53,6.07,-1.49,0.64
3250,14.47,0.15,1210,0.00,0.00,16,10.59,11.50,5.22,-9.53,6.11,-1.49,0.64
3442,14.59,0.15,1214,0.00,0.00,16,10.59,11.00,5.08,-9.55,6.07,-1.49,0.64
3632,14.47,0.15,1210,0.00,0.00,16,10.59,11.50,5.08,-9.55,6.04,-1.49,0.64
3823,14.47,0.15,1199,0.00,0.00,16,10.59,13.00,5.22,-9.53,6.11,-1.49,0.64
4016,14.59,0.15,1222,0.00,0.00,16,10.59,10.50,5.22,-9.57,6.07,-1.49,0.64
4207,14.59,0.15,1218,0.00,0.00,16,10.59,11.50,5.08,-9.57,6.11,-1.49,0.64
4397,14.47,0.15,1224,0.00,0.00,16,10.59,11.50,5.08,-9.59,6.04,-1.49,0.64
4591,14.47,0.15,1218,0.00,0.00,16,10.59,11.50,5.08,-9.59,6.07,-1.49,0.64
4783,14.47,0.15,1224,0.00,0.00,16,10.59,11.50,5.08,-9.63,6.04,-1.49,0.64
4974,14.47,0.15,1223,0.00,0.00,16,10.59,11.00,5.08,-9.61,6.00,-1.49,0.64
5163,14.36,0.15,1226,0.00,0.00,16,10.59,10.50,5.08,-9.63,6.07,-1.49,0.64
5356,14.47,0.15,1222,0.00,0.00,16,10.59,11.00,5.08,-9.61,6.04,-1.49,0.64
5545,14.47,0.15,1224,0.00,0.00,16,10.59,10.50,5.08,-9.63,6.04,-1.49,0.64
5735,14.36,0.15,1225,0.00,0.00,16,10.59,10.50,5.08,-9.63,6.00,-1.49,0.64
5928,14.47,0.15,1225,0.00,0.00,16,10.59,10.50,5.08,-9.63,6.00,-1.49,0.64
6119,14.47,0.15,1214,0.00,0.00,16,10.59,11.50,5.08,-9.57,6.04,-1.49,0.64
6312,14.47,0.15,1213,0.00,0.00,16,10.59,11.50,5.08,-9.57,6.00,-1.49,0.64
6502,14.36,0.15,1206,0.00,0.00,16,10.59,13.00,5.22,-9.38,5.98,-1.49,0.64
6694,14.59,0.15,1190,0.00,0.00,16,10.59,11.00,5.37,-9.44,6.07,-1.18,0.64
6886,14.59,0.15,1214,0.00,0.00,16,10.59,10.50,5.22,-9.53,6.11,-1.49,0.64
7085,14.70,0.15,1197,0.00,0.00,16,10.59,11.50,5.22,-9.53,6.04,-1.49,0.64
7271,14.70,0.15,1208,0.00,0.00,16,10.59,12.00,5.22,-9.55,6.04,-1.49,0.64
7458,14.47,0.15,1199,0.00,0.00,16,10.59,12.50,5.22,-9.53,6.04,-1.49,0.64
7651,14.36,0.15,1206,0.00,0.00,16,10.59,11.50,5.22,-9.53,6.07,-1.49,0.64
7842,14.24,0.15,1206,0.00,0.00,16,10.59,11.50,5.22,-9.57,6.04,-1.49,0.64
8034,14.24,0.15,1198,0.00,0.00,16,10.59,12.50,5.22,-9.48,6.04,-1.49,0.64
8224,14.24,0.15,1204,0.00,0.00,16,10.59,11.50,5.22,-9.51,6.04,-1.49,0.64
8416,14.24,0.15,1196,0.00,0.00,16,10.59,11.50,5.22,-9.49,6.07,-1.49,0.64
8605,14.47,0.15,1207,0.00,0.00,16,10.59,11.50,5.22,-9.53,6.00,-1.49,0.64
8798,14.36,0.15,1210,0.00,0.00,16,10.59,11.50,5.22,-9.49,6.04,-1.49,0.64
8990,14.47,0.15,1221,0.00,0.00,16,10.59,12.00,5.22,-9.55,6.04,-1.49,0.64
9180,14.47,0.15,1215,0.00,0.00,16,10.59,10.50,5.22,-9.53,6.07,-1.49,0.64
9373,14.36,0.15,1196,0.00,0.00,16,10.59,11.50,5.22,-9.53,6.00,-1.18,0.64
9563,14.24,0.15,1201,0.00,0.00,16,10.59,11.50,5.22,-9.53,6.04,-1.49,0.64
9756,14.36,0.15,1200,0.00,0.00,16,10.59,10.50,5.22,-9.53,5.98,-1.49,0.64
9946,14.24,0.15,1199,0.00,0.00,16,10.59,11.50,5.22,-9.53,6.00,-1.49,0.64
10136,14.36,0.15,1191,0.00,0.00,16,10.59,12.50,5.22,-9.48,6.00,-1.49,0.64
10327,14.36,0.15,1190,0.00,0.00,16,10.59,12.50,5.22,-9.48,6.00,-1.18,0.64
10519,14.47,0.15,1202,0.00,0.00,16,10.59,11.50,5.22,-9.49,6.00,-1.49,0.64
10710,14.36,0.15,1201,0.00,0.00,16,10.59,11.50,5.22,-9.53,5.94,-1.49,0.64
10900,14.36,0.15,1195,0.00,0.00,16,10.59,11.50,5.22,-9.53,5.94,-1.49,0.64
11093,14.47,0.15,1194,0.00,0.00,16,10.59,12.00,5.22,-9.48,6.04,-1.18,0.64
11285,14.47,0.15,1216,0.00,0.00,16,10.59,10.00,5.22,-9.53,6.07,-1.49,0.64
11475,14.36,0.15,1191,0.00,0.00,16,10.59,10.50,5.22,-9.51,6.04,-1.18,0.64
11666,14.47,0.15,1191,0.00,0.00,16,10.59,12.00,5.22,-9.48,5.98,-1.18,0.64
11857,14.24,0.15,1191,0.00,0.00,16,10.59,12.00,5.22,-9.44,6.04,-1.18,0.64
12050,14.36,0.15,1183,0.00,0.00,16,10.59,11.50,5.37,-9.40,6.04,-1.18,0.64
12241,14.36,0.15,1182,0.00,0.00,16,10.59,12.00,5.22,-9.44,6.07,-1.18,0.64
12433,14.36,0.15,1192,0.00,0.00,16,10.59,10.50,5.22,-9.44,6.04,-1.18,0.64
12624,14.47,0.15,1194,0.00,0.00,16,10.59,11.00,5.22,-9.44,5.98,-1.18,0.64
12816,14.47,0.15,1198,0.00,0.00,16,10.59,10.50,5.37,-9.40,6.04,-1.18,0.64
13006,14.47,0.15,1186,0.00,0.00,16,10.59,11.50,5.22,-9.38,6.04,-1.18,0.64
13197,14.47,0.15,1196,0.00,0.00,16,10.59,10.50,5.22,-9.38,6.04,-1.18,0.64
13389,14.47,0.15,1183,0.00,0.00,16,10.59,11.50,5.22,-9.42,6.04,-1.18,0.64
13580,14.47,0.15,1183,0.00,0.00,16,10.59,11.00,5.37,-9.40,6.07,-1.49,0.64
13768,14.47,0.15,1180,0.00,0.00,16,10.59,11.00,5.37,-9.38,6.00,-1.18,0.64
13961,14.59,0.15,1188,0.00,0.00,16,10.59,12.00,5.37,-9.38,6.04,-1.18,0.64
14152,14.47,0.16,1183,0.00,0.00,16,10.59,13.00,5.37,-9.36,6.04,-1.18,0.64
14344,14.47,0.16,1157,0.00,0.00,16,10.59,11.50,5.37,-9.24,6.15,-1.18,0.64
14534,14.59,0.16,1162,0.00,0.00,16,10.23,12.00,5.51,-9.17,6.18,-1.18,0.64
14727,14.59,0.17,1148,0.00,0.00,16,10.23,13.00,5.66,-8.99,6.40,-1.18,0.64
14916,14.47,0.16,1189,0.00,0.00,16,10.59,9.50,5.66,-9.05,6.51,-1.18,0.64
15125,14.47,0.16,1204,0.00,0.00,16,10.59,8.00,5.66,-9.11,6.55,-1.18,0.64
15320,14.59,0.16,1221,0.00,0.00,16,10.59,7.00,5.66,-9.13,6.59,-1.49,0.64
15510,14.59,0.16,1226,0.00,0.00,16,10.59,7.00,5.51,-9.18,6.51,-1.49,0.64
15703,14.59,0.16,1228,0.00,0.00,16,10.59,7.50,5.51,-9.26,6.44,-1.49,0.64
15890,14.59,0.16,1228,0.00,0.00,16,10.59,8.00,5.37,-9.32,6.44,-1.49,0.64
16089,14.59,0.15,1243,0.00,0.00,16,10.59,7.50,5.37,-9.38,6.40,-1.49,0.64
