Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),A/F Correction #1 (%),A/F Learning #1 (%),CL/OL Fueling* (status),Intake Air Temperature (F)
0,0.00,0.00,16,3.49,1.26,0.00,-4.69,8,111
40,0.00,0.00,16,3.56,1.26,0.00,-4.69,8,111
72,0.00,0.00,16,3.52,1.26,-0.78,-4.69,8,111
112,0.00,0.00,16,3.52,1.26,0.00,-4.69,8,111
152,0.00,0.00,16,3.52,1.28,0.00,-4.69,8,111
192,0.00,0.00,16,3.52,1.28,-0.78,-4.69,8,111
232,0.00,0.00,16,3.58,1.28,-0.78,-4.69,8,111
272,0.00,0.00,16,3.56,1.26,0.00,-4.69,8,111
304,0.00,0.00,16,3.56,1.26,0.00,-4.69,8,111
347,0.00,0.00,16,3.58,1.26,-0.78,-4.69,8,111
387,0.00,0.00,16,3.58,1.26,-0.78,-4.69,8,111
419,0.00,0.00,16,3.58,1.28,0.00,-4.69,8,111
459,0.00,0.00,16,3.58,1.28,0.00,-4.69,8,111
499,0.00,0.00,16,3.56,1.28,-0.78,-4.69,8,111
539,0.00,0.00,16,3.56,1.26,0.00,-4.69,8,111
2585,0.00,0.00,16,3.56,1.26,0.00,-4.69,8,111
2988,0.00,0.00,16,3.63,1.28,0.00,-4.69,8,111
3028,0.00,0.00,16,3.58,1.28,0.00,-4.69,8,111
3061,0.00,0.00,16,3.58,1.28,0.00,-4.69,8,111
3101,0.00,0.00,16,3.60,1.28,0.00,-4.69,8,111
3141,0.00,0.00,16,3.60,1.28,0.00,-4.69,8,111
3181,0.00,0.00,16,3.60,1.28,0.00,-4.69,8,111
3217,0.00,0.00,16,3.63,1.26,0.00,-4.69,8,111
3257,0.00,0.00,16,3.63,1.26,-0.78,-4.69,8,111
3297,0.00,0.00,16,3.63,1.28,-0.78,-4.69,8,111
3336,0.00,0.00,16,3.63,1.28,0.00,-4.69,8,111
3371,0.00,0.00,16,3.58,1.28,-0.78,-4.69,8,111
3413,0.00,0.00,16,3.60,1.28,-0.78,-4.69,8,111
3453,0.00,0.00,16,3.60,1.28,-0.78,-4.69,8,111
3485,0.00,0.00,16,3.65,1.28,0.00,-4.69,8,111
3526,0.00,0.00,16,3.65,1.28,-0.78,-4.69,8,111
3564,0.00,0.00,16,3.63,1.26,-0.78,-4.69,8,111
3604,0.00,0.00,16,3.63,1.26,0.00,-4.69,8,111
3644,0.00,0.00,16,3.58,1.28,0.00,-4.69,8,111
3684,0.00,0.00,16,3.63,1.28,0.00,-4.69,8,111
3724,0.00,0.00,16,3.63,1.28,-0.78,-4.69,8,111
3762,0.00,0.00,16,3.58,1.26,-0.78,-4.69,8,111
3802,0.00,0.00,16,3.58,1.26,0.00,-4.69,8,111
3842,0.00,0.00,16,3.58,1.26,-0.78,-4.69,8,111
3878,0.00,0.00,16,3.58,1.28,-0.78,-4.69,8,111
3918,0.00,0.00,16,3.58,1.28,0.00,-4.69,8,111
