Time (msec),A/F Sensor #1 (AFR),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),Turbo Dynamics Proportional* (absolute %)
0,14.36,0.00,0.00,16,5.91,1.46,124,0.15,1172,10.59,12.50,5.51,-9.18,0.00,0.64,0.00
599,14.36,0.00,0.00,16,5.85,1.46,124,0.15,1189,10.59,10.00,5.51,-9.24,0.00,0.64,0.00
665,14.36,0.00,0.00,16,5.85,1.46,124,0.15,1187,10.59,10.50,5.51,-9.24,0.00,0.64,0.00
729,14.36,0.00,0.00,16,5.87,1.46,124,0.15,1169,10.59,12.50,5.51,-9.24,0.00,0.64,0.00
793,14.36,0.00,0.00,16,5.87,1.46,124,0.15,1172,10.59,11.50,5.51,-9.20,0.00,0.64,0.00
859,14.47,0.00,0.00,16,5.85,1.46,124,0.15,1188,10.59,10.00,5.51,-9.20,0.00,0.64,0.00
923,14.47,0.00,0.00,16,5.81,1.46,124,0.15,1188,10.59,9.50,5.51,-9.24,0.00,0.64,0.00
983,14.47,0.00,0.00,16,5.85,1.46,124,0.15,1174,10.59,11.00,5.51,-9.24,0.00,0.64,0.00
1047,14.47,0.00,0.00,16,5.87,1.46,124,0.15,1179,10.59,10.50,5.51,-9.24,0.00,0.64,0.00
1115,14.47,0.00,0.00,16,5.87,1.46,124,0.15,1185,10.59,10.50,5.51,-9.24,0.00,0.64,0.00
1171,14.47,0.00,0.00,16,5.87,1.46,124,0.15,1186,10.59,10.50,5.51,-9.22,0.00,0.64,0.00
1238,14.36,0.00,0.00,16,5.81,1.46,124,0.15,1184,10.59,11.50,5.51,-9.24,0.00,0.64,0.00
1302,14.36,0.00,0.00,16,5.78,1.46,124,0.15,1178,10.59,10.50,5.51,-9.24,0.00,0.64,0.00
1365,14.47,0.00,0.00,16,5.87,1.46,124,0.15,1186,10.59,10.50,5.51,-9.24,0.00,0.64,0.00
1429,14.47,0.00,0.00,16,5.91,1.46,124,0.15,1167,10.59,11.50,5.51,-9.20,0.00,0.64,0.00
1493,14.47,0.00,0.00,16,5.85,1.46,124,0.15,1173,10.59,11.50,5.51,-9.20,0.00,0.64,0.00
1557,14.47,0.00,0.00,16,5.87,1.46,124,0.15,1190,10.59,10.00,5.51,-9.24,0.00,0.64,0.00
