Time (msec),AEM UEGO Wideband [9600 baud] (AFR Gasoline),A/F Correction #1 (%),A/F Correction #3 (16-bit ECU) (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Total Timing (degrees),Throttle Sensor Voltage (V),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Fueling Final Base* (estimated AFR)
0,14.80,1.56,0.00,0.00,14.70,8,0.20,3031,0.00,0.00,16,43.50,0.90,6.82,-7.83,19.89,2.10,0.00,14.87
68,14.80,1.56,0.00,0.00,14.70,8,0.20,3022,0.00,0.00,16,43.50,0.90,6.82,-7.85,20.23,2.10,0.00,14.87
129,14.70,1.56,0.00,0.00,14.59,8,0.19,3051,0.00,0.00,16,43.50,0.90,6.82,-7.85,19.66,2.10,0.00,14.88
205,14.60,0.78,0.00,0.00,14.47,8,0.19,3058,0.00,0.00,16,43.00,0.90,6.82,-7.87,19.58,2.08,0.00,14.87
267,14.60,0.78,0.00,0.00,14.47,8,0.19,3039,0.00,0.00,16,43.50,0.90,6.82,-7.89,19.73,2.08,0.00,14.87
339,14.60,1.56,0.00,0.00,14.59,8,0.19,3071,0.00,0.00,16,43.50,0.90,6.82,-7.91,19.89,2.10,0.00,14.87
411,14.80,1.56,0.00,0.00,14.70,8,0.19,3068,0.00,0.00,16,43.50,0.90,6.82,-7.91,19.81,2.10,0.00,14.87
478,14.80,1.56,0.00,0.00,14.81,8,0.20,3052,0.00,0.00,16,43.50,0.90,6.82,-7.93,19.97,2.10,0.00,14.87
547,14.70,0.78,0.00,0.00,14.59,8,0.19,3081,0.00,0.00,16,43.50,0.90,6.82,-7.91,19.81,2.10,0.00,14.87
615,14.50,0.00,0.00,0.00,14.47,8,0.19,3072,0.00,0.00,16,43.50,0.90,6.82,-7.89,19.89,2.10,0.00,14.87
677,14.50,0.00,0.00,0.00,14.47,8,0.19,3071,0.00,0.00,16,43.50,0.90,6.82,-7.91,19.89,2.10,0.00,14.87
747,14.50,0.00,0.00,0.00,14.47,8,0.19,3102,0.00,0.00,16,43.00,0.90,6.82,-7.93,19.73,2.08,0.00,14.87
821,14.70,0.78,0.00,0.00,14.59,8,0.19,3082,0.00,0.00,16,43.00,0.90,6.82,-7.93,19.89,2.10,0.00,14.90
889,14.70,0.78,0.00,0.00,14.59,8,0.19,3118,0.00,0.00,16,43.50,0.90,6.82,-7.93,19.89,2.10,0.00,14.90
958,14.70,0.78,0.00,0.00,14.70,8,0.19,3110,0.00,0.00,16,43.00,0.90,6.82,-7.89,19.97,2.10,0.00,14.90
1026,14.70,0.78,0.00,0.00,14.59,8,0.19,3072,0.00,0.00,16,43.50,0.90,6.82,-7.91,19.97,2.10,0.00,14.90
1090,14.70,0.78,0.00,0.00,14.59,8,0.19,3136,0.00,0.00,16,43.00,0.92,6.82,-7.87,20.14,2.10,0.00,14.90
1156,14.70,0.78,0.00,0.00,14.70,8,0.20,3131,0.00,0.00,16,43.50,0.92,6.82,-7.85,20.40,2.12,0.00,14.90
1232,14.80,0.78,0.00,0.00,14.70,8,0.20,3146,0.00,0.00,16,43.50,0.92,6.82,-7.77,20.75,2.12,0.00,14.90
1300,14.70,0.78,0.00,0.00,14.70,8,0.20,3139,0.00,0.00,16,43.50,0.92,6.96,-7.75,20.49,2.12,0.00,14.90
1368,14.70,0.78,0.00,0.00,14.70,8,0.20,3166,0.00,0.00,16,43.50,0.92,6.96,-7.73,21.10,2.12,0.00,14.90
1434,14.70,0.78,0.00,0.00,14.59,8,0.20,3159,0.00,0.00,16,43.50,0.94,6.96,-7.68,21.19,2.12,0.00,14.93
1506,14.70,0.78,0.00,0.00,14.59,8,0.21,3183,0.00,0.00,16,43.50,0.94,6.96,-7.62,21.80,2.12,0.00,14.93
1576,14.70,0.78,0.00,0.00,14.59,8,0.21,3166,0.00,0.00,16,43.50,0.96,7.25,-7.46,22.14,2.14,0.00,14.93
1643,14.70,0.78,0.00,0.00,14.70,8,0.22,3201,0.00,0.00,16,43.50,0.96,7.40,-7.35,22.67,2.16,0.00,14.93
1711,14.70,0.78,0.00,0.00,14.59,8,0.22,3193,0.00,0.00,16,43.50,0.98,7.55,-7.17,23.63,2.18,1.18,14.93
1776,14.70,0.78,0.00,0.00,14.70,8,0.24,3220,0.00,0.00,16,43.50,1.00,7.69,-7.00,24.13,2.22,1.18,14.49
1848,14.70,0.78,0.00,0.00,14.70,8,0.27,3220,0.00,0.00,16,43.50,1.06,7.98,-6.56,25.79,2.28,2.75,14.27
1917,14.80,0.78,0.00,0.00,14.70,8,0.28,3268,0.00,0.00,16,43.50,1.08,8.56,-5.90,29.27,2.34,2.75,14.84
1986,14.80,0.78,0.00,0.00,14.70,8,0.32,3258,0.00,0.00,16,43.50,1.16,9.14,-5.38,31.17,2.38,9.02,14.11
2055,14.60,0.00,0.00,0.00,14.47,8,0.41,3288,0.00,0.00,16,43.00,1.44,10.01,-3.93,35.94,2.50,9.02,13.87
2122,13.70,0.00,0.00,0.00,14.13,8,0.45,3324,0.00,0.00,16,39.50,1.70,12.19,-1.66,46.31,2.70,27.06,14.65
2191,14.20,0.00,0.00,0.00,12.52,10,0.45,3342,0.00,0.00,16,38.00,1.80,13.64,-0.89,49.96,2.72,29.41,14.53
2260,14.20,0.00,0.00,0.00,14.01,10,0.47,3348,0.00,0.00,16,37.50,1.98,14.07,-0.35,50.57,2.74,29.41,14.46
2321,14.80,0.00,0.00,0.78,14.59,10,0.48,3375,0.00,0.00,16,36.50,2.14,14.51,0.06,52.43,2.78,30.98,14.08
2397,14.30,0.00,0.00,0.78,14.13,10,0.51,3442,0.00,0.00,16,34.50,2.48,14.95,0.44,55.53,2.82,30.98,13.84
2466,14.30,0.00,0.00,0.78,13.21,10,0.53,3394,0.00,0.00,16,33.00,2.96,15.24,0.85,57.83,2.88,37.25,13.26
2530,14.60,0.00,0.00,0.78,14.47,10,0.56,3526,0.00,0.00,16,30.50,3.32,15.67,1.24,61.61,2.90,37.25,12.36
2604,12.70,0.00,0.00,0.78,14.13,10,0.58,3590,0.00,0.00,16,29.00,3.56,16.11,1.70,66.75,2.96,38.43,12.31
2664,12.70,0.00,0.00,0.78,12.17,10,0.59,3667,0.00,0.00,16,28.50,3.68,16.54,2.13,72.65,2.96,38.43,12.31
2739,12.40,0.00,0.00,0.78,11.60,10,0.62,3720,0.00,0.00,16,27.00,3.94,16.98,2.51,76.56,3.04,41.18,12.31
2807,12.50,0.00,0.00,3.12,11.60,10,0.65,3728,0.00,0.00,16,25.00,3.96,17.27,3.06,79.53,3.06,41.18,12.31
2874,12.50,0.00,0.00,3.12,11.60,10,0.66,3803,0.00,0.00,16,25.00,3.96,17.85,3.58,82.32,3.10,41.18,11.94
